V [mL];0.1 M NaOH TitrationEQP1 E
0;-184.4
0.5715;-135.8
0.857;-124.2
1;-119.3
1.2;-114.6
1.4;-109.8
1.6;-106.9
1.8;-102.8
2;-98.9
2.2;-96.1
2.4;-93.2
2.6;-89.6
2.8;-86.7
3;-84
3.2;-81.6
3.4;-79
3.6;-75.9
3.8;-73.4
4;-70.6
4.2;-67.7
4.4;-65.2
4.6;-62
4.8;-60.3
5;-56.4
5.2;-54
5.4;-50.7
5.6;-46.1
5.8;-43.3
6;-39.2
6.2;-34.6
6.4;-29.2
6.6;-23.8
6.8;-16.2
7;-7.3
7.1635;3.6
7.243;11.4
7.2975;19
7.3385;24.8
7.3945;37.7
7.4155;41
7.468;66.3
7.488;76.3
7.508;98.6
7.528;137
7.548;155.2
7.568;165.7
7.5945;174.5
7.6325;183.6
7.6785;191.7
7.741;199.3
7.8355;207.9
7.952;215.5
8.1265;224.4
8.3245;232
8.5245;236.3
8.7245;241.1
8.9245;244.6
9.1245;248.2
9.3245;250.5
9.5245;252.8
9.7245;255.3
9.9245;257.6
10;257.9

V [mL];0.1 M NaOH TitrationEQP1 dE/dV
1.4;18.01
1.6;17.94
1.8;17.17
2;16.74
2.2;16.28
2.4;15.79
2.6;14.48
2.8;14.11
3;13.82
3.2;13.26
3.4;13.23
3.6;13.5
3.8;14.11
4;13.69
4.2;13.59
4.4;13.46
4.6;13.31
4.8;14.09
5;15.02
5.2;16.02
5.4;16.91
5.6;18.37
5.8;19.12
6;21.14
6.2;22.88
6.4;26.49
6.6;33.11
6.8;43.67
7;66.1
7.1635;101.25
7.243;145.01
7.2975;186.64
7.3385;237.1
7.3945;363.94
7.4155;390.25
7.468;673.04
7.488;801.58
7.508;928.21
7.528;963.82
7.548;751.48
7.568;605.08
7.5945;500.15
7.6325;338.99
7.6785;205.83
7.741;140.82
7.8355;97.75
7.952;69.37
8.1265;45.84
8.3245;32.02
8.5245;24.11
8.7245;19.19
8.9245;15.96
9.1245;14.2

V [mL];0.1 M NaOH TitrationEQP1 E
0;-185.1
0.5715;-136.4
0.857;-125.6
1;-122.6
1.2;-117.1
1.4;-114.1
1.6;-109
1.8;-106.3
2;-102.5
2.2;-99.7
2.4;-96.8
2.6;-93.9
2.8;-90.8
3;-88.7
3.2;-85.4
3.4;-82.9
3.6;-80.7
3.8;-78.4
4;-75.4
4.2;-73.6
4.4;-70.2
4.6;-68.4
4.8;-65.5
5;-63.4
5.2;-61.2
5.4;-57.2
5.6;-55
5.8;-52.1
6;-49.2
6.2;-45.4
6.4;-42.7
6.6;-38
6.8;-33.6
7;-28.5
7.2;-23.4
7.4;-16.1
7.6;-8.1
7.8;3.7
7.891;11.4
7.9575;19
8.0085;27.1
8.0445;33.8
8.0825;44.1
8.1025;49.7
8.1305;63.9
8.1505;79.3
8.1705;116.7
8.1905;144.7
8.2105;159.8
8.2305;170.1
8.253;177.1
8.2965;187.9
8.3365;193.2
8.4365;205.2
8.511;211.5
8.6475;219.4
8.846;228.4
9.046;234.4
9.246;239.4
9.446;243.3
9.646;246.8
9.846;249.9
10;252.2

V [mL];0.1 M NaOH TitrationEQP1 dE/dV
1.4;16.22
1.6;17.73
1.8;16.97
2;15.93
2.2;15.12
2.4;14.13
2.6;14.37
2.8;13.84
3;13.43
3.2;13.12
3.4;12.39
3.6;12.43
3.8;12.35
4;12.31
4.2;12.75
4.4;12.16
4.6;12.24
4.8;12.47
5;13.07
5.2;13.11
5.4;14.28
5.6;14.28
5.8;14.95
6;15.57
6.2;17
6.4;18.99
6.6;20.82
6.8;22.78
7;25.89
7.2;30.85
7.4;38.53
7.6;55.5
7.8;91.3
7.891;121.72
7.9575;164.3
8.0085;224.05
8.0445;327.58
8.0825;465.06
8.1025;540.5
8.1305;758.11
8.1505;999.12
8.1705;1099.73
8.1905;977.74
8.2105;691.37
8.2305;597.68
8.253;505.48
8.2965;299.05
8.3365;196.74
8.4365;119.9
8.511;91.02
8.6475;62.08
8.846;39.46
9.046;27.01

V [mL];0.1 M NaOH TitrationEQP1 E
0;-184.6
0.5715;-136.1
0.857;-127.2
1;-123.6
1.2;-118.3
1.4;-114.2
1.6;-110.1
1.8;-107.3
2;-103.7
2.2;-101
2.4;-97.8
2.6;-95
2.8;-92
3;-90.1
3.2;-87.6
3.4;-84.7
3.6;-82.1
3.8;-79.9
4;-77.4
4.2;-75.5
4.4;-73.1
4.6;-70.4
4.8;-68.2
5;-65.6
5.2;-63
5.4;-60.3
5.6;-57.8
5.8;-55
6;-52.2
6.2;-49.5
6.4;-45.9
6.6;-42.3
6.8;-39.1
7;-34.9
7.2;-29.8
7.4;-24.7
7.6;-18.4
7.8;-10.9
8;-0.1
8.109;8
8.186;15.6
8.2485;22.8
8.3075;35.3
8.328;37.6
8.379;53.9
8.399;66.1
8.419;86.2
8.439;127.9
8.459;149.8
8.479;164.4
8.499;172.7
8.5335;182.7
8.5725;190.6
8.6285;198.7
8.706;207
8.8065;214.8
8.9495;222.9
9.143;230.8
9.343;236.7
9.543;241.8
9.743;245.9
9.943;249.1
10;250

V [mL];0.1 M NaOH TitrationEQP1 dE/dV
1.4;16
1.6;17.97
1.8;16.28
2;15.49
2.2;14.99
2.4;14.16
2.6;13.61
2.8;13
3;12.77
3.2;12.59
3.4;12.48
3.6;12.14
3.8;12.03
4;11.45
4.2;11.35
4.4;11.69
4.6;12.2
4.8;12.51
5;12.85
5.2;12.95
5.4;12.98
5.6;13.3
5.8;13.9
6;14.57
6.2;15.26
6.4;16.48
6.6;17.83
6.8;19.61
7;21.32
7.2;24.03
7.4;28.66
7.6;36.14
7.8;49.07
8;76.33
8.109;106.17
8.186;143.99
8.2485;204.34
8.3075;349.5
8.328;397.95
8.379;659.32
8.399;764.47
8.419;950.93
8.439;1127.27
8.459;912.16
8.479;674.54
8.499;589.73
8.5335;417.08
8.5725;259.14
8.6285;169.44
8.706;116.13
8.8065;82.49
8.9495;56.41
9.143;35.91

V [mL];0.1 M NaOH TitrationEQP1 E
0;-183
0.5715;-135.9
0.857;-126.8
1;-122.5
1.2;-117.5
1.4;-112.5
1.6;-109.6
1.8;-105.6
2;-102.3
2.2;-99.1
2.4;-96.6
2.6;-93.2
2.8;-90.9
3;-88.4
3.2;-85.7
3.4;-83
3.6;-80.8
3.8;-78.1
4;-75.7
4.2;-73.3
4.4;-70.7
4.6;-68.4
4.8;-66.1
5;-63.3
5.2;-60.7
5.4;-58.1
5.6;-55.3
5.8;-52.1
6;-49.2
6.2;-45.9
6.4;-42.1
6.6;-39
6.8;-34.3
7;-29.8
7.2;-23.7
7.4;-17.9
7.6;-9.4
7.7775;0.1
7.8955;9.3
7.9665;17.1
8.018;23.7
8.0715;32.6
8.1085;42
8.129;47
8.1645;62.2
8.1845;75.1
8.2045;105.4
8.2245;137.4
8.2445;155.2
8.2645;167.2
8.2845;174.4
8.3215;184.2
8.363;192
8.4225;200.4
8.4975;207.7
8.6165;216.3
8.768;224.2
8.968;232.1
9.168;237.6
9.368;242.3
9.568;246.4
9.768;249.7
9.968;252.4
10;252.6

V [mL];0.1 M NaOH TitrationEQP1 dE/dV
1.4;17.23
1.6;18.5
1.8;16.88
2;15.85
2.2;14.97
2.4;14.38
2.6;13.51
2.8;13.15
3;12.89
3.2;12.74
3.4;12.43
3.6;12.64
3.8;12.44
4;12.14
4.2;12.11
4.4;12.23
4.6;12.24
4.8;12.45
5;12.87
5.2;13.35
5.4;13.85
5.6;14.62
5.8;15
6;15.88
6.2;16.59
6.4;18.1
6.6;19.68
6.8;21.94
7;24.84
7.2;29.63
7.4;37.98
7.6;52.46
7.7775;78.83
7.8955;109.21
7.9665;145.39
8.018;188.86
8.0715;287.06
8.1085;409.73
8.129;462.87
8.1645;686.73
8.1845;856.48
8.2045;1060.77
8.2245;1020.89
8.2445;778.26
8.2645;607.64
8.2845;533.93
8.3215;351.51
8.363;226.86
8.4225;153.34
8.4975;109.87
8.6165;75.37
8.768;51.47
8.968;34.95
9.168;25.11

V [mL];0.1 M NaOH TitrationEQP1 E
0;-184.8
0.5715;-136
0.857;-125.6
