V [mL];E
0;-63.7
2;-1.1
2.02;-4.6
2.04;-4.3
2.06;-4.1
2.08;-3.8
2.1;-3.9
2.12;-3.6
2.14;-3.4
2.16;-3.1
2.18;-2.8
2.2;-2.6
2.22;-2.3
2.24;-2.1
2.26;-2.1
2.28;-1.6
2.3;-1.3
2.32;-1.2
2.34;-0.9
2.36;-0.8
2.38;-0.4
2.4;-0.2
2.42;-0.1
2.44;0.2
2.46;0.6
2.48;0.6
2.5;0.8
2.52;0.9
2.54;1.2
2.56;1.6
2.58;1.7
2.6;1.9
2.62;2.2
2.64;2.4
2.66;2.7
2.68;2.7
2.7;3.1
2.72;3.1
2.74;3.5
2.76;3.7
2.78;3.9
2.8;4
2.82;4.3
2.84;4.5
2.86;4.9
2.88;5
2.9;5.3
2.92;5.4
2.94;5.7
2.96;6
2.98;6.1
3;6.4
3.02;6.6
3.04;6.8
3.06;7
3.08;7.4
3.1;7.7
3.12;8
3.14;8.1
3.16;8.2
3.18;8.6
3.2;8.8
3.22;9
3.24;9.3
3.26;9.5
3.28;9.8
3.3;10.1
3.32;10.3
3.34;10.5
3.36;10.9
3.38;11.2
3.4;11.4
3.42;11.7
3.44;11.9
3.46;12.2
3.48;12.6
3.5;13
3.52;13.2
3.54;13.4
3.56;13.6
3.58;14.1
3.6;14.1
3.62;14.6
3.64;14.8
3.66;15.2
3.68;15.5
3.7;15.8
3.72;16.1
3.74;16.5
3.76;16.7
3.78;17.2
3.8;17.6
3.82;17.9
3.84;18.2
3.86;18.7
3.88;18.9
3.9;19.3
3.92;19.7
3.94;20.1
3.96;20.4
3.98;20.7
4;21.1
4.02;21.6
4.04;21.9
4.06;22.5
4.08;22.8
4.1;23.3
4.12;23.9
4.14;24.2
4.16;24.7
4.18;25.1
4.2;25.5
4.22;26.1
4.24;26.7
4.26;27.2
4.28;27.6
4.3;28.1
4.32;28.9
4.34;29.3
4.36;30.1
4.38;30.5
4.4;31
4.42;32
4.44;32.5
4.46;33.3
4.48;34.1
4.5;34.4
4.52;35.4
4.54;36.2
4.56;37.4
4.58;38
4.6;39.1
4.62;39.8
4.64;40.7
4.66;41.6
4.68;42.9
4.7;44.1
4.72;45.6
4.74;46.5
4.76;48.3
4.78;49.6
4.8;51.6
4.82;53.6
4.84;55.9
4.86;57.5
4.88;60.5
4.9;63.7
4.92;67
4.94;72.1
4.96;77.2
4.98;85.8
5;103.7
5.02;135.1
5.04;150.9
5.06;159
5.08;164.4
5.1;168.3
5.12;170.9
5.14;173
5.16;174.9
5.18;176.6
5.2;178

V [mL];dE/dV
2.08;-4.5
2.1;19.71
2.12;9.73
2.14;11.74
2.16;13.9
2.18;13.29
2.2;11.18
2.22;11.61
2.24;11.35
2.26;12.28
2.28;12.08
2.3;12.16
2.32;12.86
2.34;11.79
2.36;9.8
2.38;11.88
2.4;12.52
2.42;12
2.44;10.86
2.46;8.81
2.48;9.73
2.5;10.05
2.52;9.87
2.54;11.28
2.56;12.58
2.58;12.8
2.6;11.53
2.62;11.02
2.64;10.16
2.66;10.48
2.68;10.02
2.7;10.51
2.72;10.69
2.74;10.8
2.76;10.48
2.78;10.44
2.8;11.31
2.82;11.48
2.84;12.29
2.86;11.99
2.88;12.08
2.9;10.96
2.92;10.96
2.94;11.02
2.96;11.77
2.98;10.64
3;10.78
3.02;10.92
3.04;13.02
3.06;14.67
3.08;13.48
3.1;13.05
3.12;12.04
3.14;10.63
3.16;10.2
3.18;10.99
3.2;11.9
3.22;13.11
3.24;13.08
3.26;12.12
3.28;12.78
3.3;13.3
3.32;13.44
3.34;14.07
3.36;13.78
3.38;13.41
3.4;13.22
3.42;13.8
3.44;14.72
3.46;16.08
3.48;15.27
3.5;15.36
3.52;13.68
3.54;12.68
3.56;12.22
3.58;13.4
3.6;15.01
3.62;15.61
3.64;15.45
3.66;16.03
3.68;16.28
3.7;15.12
3.72;16.59
3.74;17.22
3.76;17.7
3.78;18.65
3.8;18.51
3.82;17.93
3.84;17.58
3.86;17.2
3.88;18.22
3.9;18.3
3.92;17.46
3.94;17.72
3.96;17.94
3.98;18.48
4;19.51
4.02;20.39
4.04;22.37
4.06;22.83
4.08;22.96
4.1;23.11
4.12;22.47
4.14;21.34
4.16;22.31
4.18;23.2
4.2;24.73
4.22;25.26
4.24;26.06
4.26;26.18
4.28;27.27
4.3;28.1
4.32;27.8
4.34;29.55
4.36;30.08
4.38;30.29
4.4;33.2
4.42;34.28
4.44;34.06
4.46;34.07
4.48;35.45
4.5;36.76
4.52;41.7
4.54;43.84
4.56;45.81
4.58;44.78
4.6;42.35
4.62;43.44
4.64;48.66
4.66;53.43
4.68;58.22
4.7;62.53
4.72;65.53
4.74;69.56
4.76;78.1
4.78;84.38
4.8;90.9
4.82;100.75
4.84;106.35
4.86;122.18
4.88;135.27
4.9;140.21
4.92;150.98
4.94;305.29
4.96;550
4.98;786.87
5;924.15
5.02;915.83
5.04;765.1
5.06;512.56
5.08;259.02
5.1;113.1

