V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-39.2
2;14.2
2.02;13.5
2.04;13.6
2.06;13.9
2.08;14.1
2.1;14.4
2.12;14.6
2.14;14.8
2.16;15
2.18;15.3
2.2;15.5
2.22;15.8
2.24;16
2.26;16.1
2.28;16.4
2.3;16.6
2.32;16.8
2.34;17
2.36;17.2
2.38;17.5
2.4;17.6
2.42;17.9
2.44;18.1
2.46;18.3
2.48;18.4
2.5;18.7
2.52;18.9
2.54;19.1
2.56;19.3
2.58;19.6
2.6;19.7
2.62;19.9
2.64;20.2
2.66;20.3
2.68;20.6
2.7;20.8
2.72;21
2.74;21.2
2.76;21.4
2.78;21.6
2.8;21.9
2.82;22.1
2.84;22.3
2.86;22.5
2.88;22.7
2.9;22.9
2.92;23.1
2.94;23.3
2.96;23.6
2.98;23.7
3;24
3.02;24.2
3.04;24.4
3.06;24.7
3.08;24.9
3.1;25.1
3.12;25.3
3.14;25.6
3.16;25.8
3.18;26.1
3.2;26.2
3.22;26.5
3.24;26.7
3.26;27
3.28;27.3
3.3;27.5
3.32;27.7
3.34;27.9
3.36;28.2
3.38;28.4
3.4;28.6
3.42;28.9
3.44;29.1
3.46;29.5
3.48;29.8
3.5;30
3.52;30.2
3.54;30.5
3.56;30.8
3.58;31
3.6;31.3
3.62;31.6
3.64;31.8
3.66;32.2
3.68;32.5
3.7;32.7
3.72;33.1
3.74;33.4
3.76;33.7
3.78;34
3.8;34.3
3.82;34.7
3.84;35
3.86;35.4
3.88;35.8
3.9;36.1
3.92;36.3
3.94;36.8
3.96;37.1
3.98;37.5
4;37.8
4.02;38.3
4.04;38.7
4.06;39
4.08;39.5
4.1;39.9
4.12;40.2
4.14;40.7
4.16;41.1
4.18;41.6
4.2;42
4.22;42.5
4.24;43.1
4.26;43.6
4.28;44.1
4.3;44.7
4.32;45.2
4.34;45.8
4.36;46.4
4.38;47
4.4;47.4
4.42;48.2
4.44;48.8
4.46;49.6
4.48;50.2
4.5;50.8
4.52;51.6
4.54;52.4
4.56;53.2
4.58;53.8
4.6;55
4.62;55.8
4.64;56.8
4.66;57.9
4.68;58.8
4.7;60.4
4.72;61.2
4.74;62.9
