V [mL];E
0;-53
0.01;-45
0.02;-43.1
0.045;-39.8
0.1075;-32.9
0.195;-26.4
0.295;-22.1
0.395;-18.5
0.495;-15.3
0.595;-13.7
0.695;-12.1
0.795;-10.3
0.895;-8.9
0.995;-7.3
1.095;-6
1.195;-4.8
1.295;-3.5
1.395;-2.5
1.495;-1.3
1.595;-0.2
1.695;1.1
1.795;2.2
1.895;3.2
1.995;4.3
2.095;5.3
2.195;6.3
2.295;7.4
2.395;8.4
2.495;9.7
2.595;10.7
2.695;11.8
2.795;13
2.895;14
2.995;15.4
3.095;16.7
3.195;17.8
3.295;19.3
3.395;20.8
3.495;22.1
3.595;23.6
3.695;25.2
3.795;26.8
3.895;28.6
3.995;30.8
4.095;32.9
4.195;35.2
4.295;37.8
4.395;40.8
4.495;44.3
4.595;48.6
4.695;54
4.795;61.3
4.895;73
4.9415;82.6
4.9635;89.1
4.982;97.6
4.993;103.3
5.007;119.3
5.017;136.3
5.027;149.5
5.037;157.6
5.053;166.3
5.0745;173.9
5.1105;181.2
5.177;187.9
5.277;195.7
5.377;200

V [mL];dE/dV
0.195;69.56
0.295;43.8
0.395;30.21
0.495;21.99
0.595;18.29
0.695;16.39
0.795;14.69
0.895;14.3
0.995;14.17
1.095;13.07
1.195;12.06
1.295;11.68
1.395;11.47
1.495;11.55
1.595;11.51
1.695;11.36
1.795;11.1
1.895;10.64
1.995;10.23
2.095;10.22
2.195;10.55
2.295;10.74
2.395;11.01
2.495;11.05
2.595;11.08
2.695;11.37
2.795;11.52
2.895;11.76
2.995;12.53
3.095;12.98
3.195;13.39
3.295;13.83
3.395;14.06
3.495;14.5
3.595;15.24
3.695;16.15
3.795;17.59
3.895;19.12
3.995;20.59
4.095;22.33
4.195;24.48
4.295;27.15
4.395;30.18
4.495;36.18
4.595;47.74
4.695;69.02
4.795;114.24
4.895;232.17
4.9415;396.87
4.9635;567.45
4.982;730.84
4.993;758.99
5.007;942.71
5.017;1035.61
5.027;796.89
5.037;760.85
5.053;630.3

