V [mL];E
0;-53.9
1.143;-10.8
1.7145;-3.2
2;0.3
2.1;0.9
2.2;2.1
2.3;3.3
2.4;4.6
2.5;5.9
2.6;7
2.7;8.2
2.8;9.1
2.9;10.7
3;11.9
3.1;13.2
3.2;14.6
3.3;15.9
3.4;17.4
3.5;19
3.6;20.4
3.7;22.1
3.8;23.8
3.9;25.5
4;27.8
4.1;30
4.2;32.5
4.3;35.1
4.4;38.1
4.5;41.6
4.6;46.2
4.7;51.7
4.8;59.2
4.9;71.8
4.9405;80.5
4.962;86.7
4.983;96.9
4.993;103.1
5.003;112.8
5.013;127.4
5.023;142.3
5.033;152.4
5.0445;160.5
5.061;167.7
5.091;176.1
5.135;182.1
5.235;190.5
5.335;196.1
5.435;199.8

V [mL];dE/dV
2.2;10.39
2.3;11.31
2.4;11.73
2.5;12.24
2.6;11.8
2.7;11.81
2.8;12.14
2.9;12.6
3;13.07
3.1;13.57
3.2;13.86
3.3;14.01
3.4;14.82
3.5;15.05
3.6;15.7
3.7;16.67
3.8;17.99
3.9;19.65
4;21.46
4.1;22.96
4.2;25.18
4.3;27.9
4.4;30.5
4.5;37.11
4.6;49.57
4.7;72.04
4.8;121.17
4.9;239.23
4.9405;375.57
4.962;537.44
4.983;735.01
4.993;797.15
5.003;926.16
5.013;1104.32
5.023;918.69
5.033;801.61
5.0445;714.33
5.061;534.88

