V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-42.5
1.143;-0.1
1.7145;6.7
2;10
2.2;11.7
2.4;14.3
2.6;16.5
2.8;18.6
3;21.4
3.2;24.2
3.4;27
3.6;29.9
3.8;33.2
4;37
4.2;41.5
4.4;47.5
4.6;54.9
4.8;67.7
4.8785;76.1
4.9225;83.6
4.9525;91
4.9745;97.3
4.999;113.2
5.019;142.3
5.039;161.2
5.059;171
5.091;179.3
5.148;188
5.2385;196.1
5.3925;203.6
5.5925;208
5.7925;211.9

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;9.12
2.6;11.6
2.8;12.34
3;13.07
3.2;13.56
3.4;14.38
3.6;15.49
3.8;16.42
4;19.55
4.2;25.48
4.4;37.02
4.6;61.62
4.8;128.27
4.8785;235.37
4.9225;371.01
4.9525;479.52
4.9745;492.15
4.999;658.53
5.019;642.31
5.039;500.72
5.059;500.9
5.091;396.65

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-50.7
1.143;-6
1.7145;3.9
2;5.2
2.2;8
2.4;10.6
2.6;13.1
2.8;15.5
3;18.2
3.2;20.7
3.4;23.7
3.6;26.7
3.8;30.2
4;34
4.2;38.7
4.4;44.6
4.6;52.3
4.8;65.1
4.8785;73.7
4.9205;80.9
4.95;88.2
4.9725;97.2
4.9925;110.4
5.0125;131.5
5.0325;158.2
5.0525;168.3
5.0945;179.6
5.15;187.2
5.267;196.2
5.4485;203.9
5.6485;207.4
5.8485;210.8

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;9.87
2.6;11.67
2.8;13.34
3;12.94
3.2;13.63
3.4;14.55
3.6;15.85
3.8;17.06
4;20.16
4.2;25.93
4.4;37.54
4.6;63.05
4.8;132.26
4.8785;228.34
4.9205;370.04
4.95;489.72
4.9725;490.25
4.9925;667.22
5.0125;607.01
5.0325;516.5
5.0525;516.31
5.0945;380.07

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-47.2
1.143;-4.3
1.7145;3.3
2;6.7
2.2;8.7
2.4;11.1
2.6;13.7
2.8;16.5
3;18.9
3.2;21.5
3.4;24.3
3.6;27.1
3.8;30.6
4;34.2
4.2;38.7
4.4;44.2
4.6;51.7
4.8;63.7
4.8895;72.7
4.9365;79.8
4.9725;87.1
5.002;97.6
5.022;112.4
5.042;140.1
5.062;158.3
5.082;168
5.1125;176.6
5.1615;183.3
5.2815;194.2
5.415;200.4
5.615;206.6
5.815;210.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;9.95
2.6;12.28
2.8;12.79
3;13.12
3.2;13.32
3.4;13.97
3.6;15.08
3.8;16.42
4;19.19
4.2;24.7
4.4;35.33
4.6;58.22
4.8;121.07
4.8895;222.36
4.9365;345.3
4.9725;461.43
5.002;507.43
5.022;609.91
5.042;624.84
5.062;482.25
5.082;495.52
5.1125;393.89

