V [mL];Benzoic acid TitrationEQP1 E
0;154.5
0.02;145.1
0.04;134.1
0.06;126.8
0.093;119
0.145;110.9
0.224;102.7
0.337;95.5
0.537;86.7
0.737;80.5
0.937;75
1.137;70.3
1.337;65.9
1.537;61.7
1.737;57.4
1.937;53.4
2.137;49.2
2.337;44.8
2.537;40.3
2.737;35.7
2.937;30.2
3.137;24.6
3.337;17.5
3.537;8.9
3.708;-0.7
3.819;-9.3
3.894;-16.9
3.953;-25.6
3.991;-33.2
4.021;-40.2
4.05;-50.8
4.07;-61.1
4.09;-80.3
4.11;-193.3
4.13;-227.7
4.15;-242.3
4.176;-253.2
4.209;-261.3
4.264;-269.3
4.358;-276.9
4.533;-284.3
4.733;-289.6

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.145;-180.82
0.224;-118.99
0.337;-75.44
0.537;-43.09
0.737;-29.73
0.937;-24.43
1.137;-22.19
1.337;-21.01
1.537;-20.71
1.737;-20.58
1.937;-20.67
2.137;-21.14
2.337;-21.75
2.537;-22.79
2.737;-24.5
2.937;-27.14
3.137;-31.74
3.337;-39.71
3.537;-55.27
3.708;-80.97
3.819;-114.19
3.894;-156.85
3.953;-231.18
3.991;-517.94
4.021;-756.31
4.05;-1001.56
4.07;-1333.45
4.09;-1908.96
4.11;-1865.57
4.13;-1304.41
4.15;-1166.12
4.176;-963.12

V [mL];Benzoic acid TitrationEQP1 E
0;178
0.02;153.4
0.04;136.1
0.06;127
0.093;117.9
0.141;109.8
0.219;101.1
0.327;93.4
0.504;84.8
0.704;78.2
0.904;72.4
1.104;67.5
1.304;62.9
1.504;58.6
1.704;54
1.904;49.9
2.104;45.7
2.304;41.2
2.504;36.4
2.704;31.5
2.904;26
3.104;19.7
3.304;12.6
3.504;2.5
3.63;-4.5
3.762;-15.1
3.83;-23.8
3.87;-30
3.912;-38.6
3.942;-48.3
3.962;-55.9
3.982;-68.5
4.002;-96.5
4.022;-223.7
4.042;-241.8
4.092;-258.7
4.156;-268.6
4.27;-277
4.47;-285
4.67;-289.7
4.87;-292.8

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.141;-246.75
0.219;-139.47
0.327;-83.82
0.504;-49.02
0.704;-32.38
0.904;-25.75
1.104;-23.14
1.304;-21.87
1.504;-21.42
1.704;-21.17
1.904;-21.34
2.104;-21.71
2.304;-22.58
2.504;-23.49
2.704;-25.89
2.904;-28.82
3.104;-33.85
3.304;-43.67
3.504;-62.52
3.63;-84.96
3.762;-130.04
3.83;-182.99
3.87;-270.65
3.912;-642.12
3.942;-943.8
3.962;-1101.65
3.982;-1661.2
4.002;-1355.77
4.022;-1176.45
4.042;-1217.13
4.092;-859.4

V [mL];Benzoic acid TitrationEQP1 E
0;175.1
0.02;152.3
0.04;136.5
0.06;127.1
0.088;119.4
0.137;110.4
0.203;102.5
0.306;95.2
0.495;85.9
0.695;78.9
0.895;73.3
1.095;68.3
1.295;63.8
1.495;59.5
1.695;55.2
1.895;51
2.095;46.7
2.295;42.4
2.495;37.7
2.695;33
2.895;27.6
3.095;21.4
3.295;14.2
3.495;5.4
3.662;-4.8
3.755;-12.9
3.821;-19.8
3.884;-29.8
3.917;-36.2
3.95;-45.2
3.971;-53.5
3.991;-65.6
4.011;-89.9
4.031;-220.2
4.051;-240.9
4.1;-258.1
4.167;-268.2
4.292;-277.6
4.492;-285
4.692;-289.7
4.892;-292.8

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.137;-245.98
0.203;-147.21
0.306;-89.09
0.495;-49.56
0.695;-32.66
0.895;-25.92
