V [mL];TRIS B TitrationEQP1 E
0;413.8
0.02;414.4
0.04;414.7
0.09;415.3
0.215;416.1
0.415;417.5
0.615;418.8
0.815;420.2
1.015;421.7
1.215;422.9
1.415;424.4
1.615;425.8
1.815;427.2
2.015;428.6
2.215;430
2.415;431.4
2.615;432.9
2.815;434.2
3.015;435.8
3.215;437.4
3.415;438.9
3.615;440.6
3.815;442.3
4.015;444
4.215;445.8
4.415;447.6
4.615;449.5
4.815;451.5
5.015;453.6
5.215;455.8
5.415;458.1
5.615;460.6
5.815;463.1
6.015;466
6.215;469.1
6.415;472.8
6.615;476.4
6.815;481.2
7.015;486.4
7.215;492.7
7.415;501
7.603;512
7.699;519.5
7.777;528.2
7.827;535.9
7.865;543.9
7.893;551.6
7.915;559.7
7.935;570
7.955;585.4
7.975;609.4
7.995;630.6
8.015;644.1
8.035;653.2
8.061;661.6
8.097;670.3
8.14;677.2
8.215;686.9
8.292;693.8
8.421;702.5

V [mL];TRIS B TitrationEQP1 dE/dV
0.415;7.15
0.615;6.84
0.815;6.85
1.015;6.95
1.215;6.97
1.415;7.01
1.615;6.97
1.815;7.05
2.015;7.05
2.215;6.96
2.415;7.1
2.615;7.21
2.815;7.39
3.015;7.63
3.215;7.87
3.415;8.12
3.615;8.36
3.815;8.49
4.015;8.74
4.215;9.02
4.415;9.31
4.615;9.71
4.815;10.22
5.015;10.68
5.215;11.23
5.415;11.77
5.615;12.67
5.815;13.57
6.015;14.84
6.215;16.43
6.415;18.23
6.615;20.34
6.815;23.78
7.015;28.92
7.215;37.8
7.415;54.86
7.603;87.22
7.699;119.63
7.777;168.03
7.827;234.4
7.865;340.95
7.893;435.74
7.915;515.06
7.935;653.66
7.955;834.78
7.975;888.01
7.995;763.77
8.015;581.57
8.035;492.28
8.061;404.18

V [mL];TRIS B TitrationEQP1 E
0;413.1
0.02;410.7
0.04;415.3
0.06;416.8
0.11;417
0.235;414.5
0.435;417.1
0.635;420.4
0.835;419
1.035;420.8
1.235;417.6
1.435;418
1.635;422.3
1.835;423.7
2.035;424.9
2.235;425.8
2.435;425.8
2.635;427.8
2.835;431.8
3.035;435.4
3.235;438.3
3.435;440.8
3.635;443.2
3.835;444.9
4.035;447.6
4.235;450.1
4.435;452.3
4.635;454.9
4.835;457.4
5.035;460.3
5.235;463.7
5.435;467.2
5.635;471.3
5.835;476
6.035;481.7
6.235;488.5
6.435;497.7
6.587;507.8
6.67;515.2
6.736;523.2
6.785;531.1
6.822;539.3
6.849;547.4
6.869;555.6
6.889;565.6
6.909;581.2
6.929;600.7
6.949;616.7
6.969;626.8
6.994;636.5
7.021;644
7.061;652.2
7.114;660.2
7.187;668.1
7.288;676.2

V [mL];TRIS B TitrationEQP1 dE/dV
0.235;9.84
0.435;6.89
0.635;1.28
0.835;0.16
1.035;0.77
1.235;1.45
1.435;4.82
1.635;7.57
1.835;7.06
2.035;7.18
2.235;6.11
2.435;7.92
2.635;12.13
2.835;15.09
3.035;16.05
3.235;15.1
3.435;12.86
3.635;11.28
3.835;11.15
4.035;11.42
4.235;11.74
4.435;12.29
4.635;12.95
4.835;13.66
5.035;15.1
5.235;16.88
5.435;18.78
5.635;21.25
5.835;25.15
6.035;31.44
6.235;42.76
6.435;64.7
6.587;97.46
6.67;131
6.736;177.64
6.785;246.94
6.822;340.67
6.849;418.16
6.869;487.18
6.889;615.36
6.909;734.33
6.929;721.41
6.949;594.98
6.969;484.38
6.994;403.49

V [mL];TRIS B TitrationEQP1 E
0;418.1
0.02;418.4
0.04;418.6
0.09;419.1
0.215;420.1
0.415;421.6
0.615;423.1
0.815;424.6
1.015;426.2
1.215;427.8
1.415;429.3
1.615;430.9
1.815;432.5
2.015;434.1
2.215;435.9
2.415;437.7
2.615;439.3
2.815;441.2
3.015;443.1
3.215;445
3.415;447.1
3.615;449.3
3.815;451.6
4.015;453.9
4.215;456.4
4.415;459.2
4.615;462
4.815;465.3
5.015;468.9
5.215;472.8
5.415;477.3
5.615;482.8
5.815;489.2
6.015;497.7
6.192;508.4
6.286;516.4
6.352;523.8
6.406;532.2
6.444;539.8
6.475;548.3
6.496;556.4
6.516;567
6.536;581.8
6.556;605.2
6.576;625.2
6.596;638.4
6.616;647.4
6.642;655.7
6.676;663.8
6.722;671.7
6.787;679.9
6.872;687.4
7.002;695.8

V [mL];TRIS B TitrationEQP1 dE/dV
0.415;7.76
0.615;7.66
0.815;7.68
1.015;7.77
1.215;7.79
1.415;7.84
1.615;8.03
1.815;8.16
2.015;8.37
2.215;8.61
2.415;8.76
2.615;8.96
2.815;9.22
3.015;9.61
3.215;10.12
3.415;10.57
3.615;11.04
3.815;11.58
4.015;12.19
4.215;13
4.415;14.03
4.615;15.2
4.815;16.72
5.015;18.43
5.215;20.52
5.415;24.03
5.615;29.55
5.815;39.16
6.015;57.68
6.192;90.3
6.286;123.64
6.352;166.5
6.406;233.18
6.444;332.28
6.475;434.07
6.496;508.58
6.516;636.46
6.536;813.23
6.556;862.44
6.576;734.05
6.596;570.15
6.616;479.99
6.642;393.97

V [mL];TRIS B TitrationEQP1 E
0;419.3
0.02;419.7
0.04;420
0.09;420.6
0.215;421.6
0.415;423.1
0.615;424.8
0.815;426.3
1.015;427.9
1.215;429.5
1.415;431.2
1.615;432.9
1.815;434.7
2.015;436.4
2.215;438.1
2.415;440
2.615;441.9
2.815;443.8
3.015;445.8
3.215;448
3.415;450.3
3.615;452.6
3.815;455.1
4.015;457.9
4.215;460.7
4.415;463.9
4.615;467.3
4.815;471.3
5.015;475.7
5.215;480.7
5.415;486.9
5.615;494.9
5.811;505.5
5.921;514.4
5.988;521.3
6.05;530.1
6.09;537.9
6.12;545.7
6.143;554.1
6.163;563.5
6.183;577.9
6.203;600
6.223;623.8
6.243;638.1
6.263;647.9
6.287;656.4
6.318;664.2
6.362;672.4
6.421;680.3
6.504;688.4
6.616;696.1

V [mL];TRIS B TitrationEQP1 dE/dV
0.415;8.1
0.615;7.84
0.815;7.86
1.015;8.08
1.215;8.28
1.415;8.39
1.615;8.58
1.815;8.7
2.015;8.84
2.215;8.96
2.415;9.19
2.615;9.56
2.815;10.02
3.015;10.41
3.215;10.94
3.415;11.56
3.615;12.25
3.815;12.95
4.015;13.86
4.215;15.07
4.415;16.45
4.615;17.99
4.815;19.98
5.015;23.02
5.215;27.95
5.415;36.06
5.615;51.47
5.811;82.27
5.921;116.04
5.988;153.8
6.05;219.68
6.09;317.35
6.12;421.79
6.143;501.04
6.163;617.42
6.183;807.93
6.203;903.23
6.223;799.77
6.243;619.98
6.263;507.58
6.287;424.54

V [mL];TRIS B TitrationEQP1 E
0;419.8
0.02;420.1
0.04;420.4
0.09;421
0.215;421.9
0.415;423.6
0.615;425.2
0.815;426.8
1.015;428.4
1.215;430.2
1.415;431.9
1.615;433.6
1.815;435.4
2.015;437.2
2.215;439.1
2.415;441.1
2.615;443
2.815;445.1
3.015;447.3
3.215;449.5
3.415;452
3.615;454.5
3.815;457.2
4.015;460.2
4.215;463.3
4.415;466.8
4.615;470.7
4.815;475.2
5.015;480.5
5.215;487
5.415;495.4
5.596;506
5.696;513.9
5.769;522.2
5.819;529.4
5.862;538.6
5.887;545.1
5.912;554.4
5.932;565.1
5.952;580.3
5.972;603.8
5.992;624.6
6.012;638.4
6.032;647.3
6.06;656.1
6.096;664.4
6.144;672.5
6.21;680.5
6.3;688.1
6.438;696.5

V [mL];TRIS B TitrationEQP1 dE/dV
0.415;8.21
0.615;8.13
0.815;8.21
1.015;8.37
1.215;8.47
1.415;8.64
1.615;8.85
1.815;9.02
2.015;9.21
2.215;9.55
2.415;9.81
2.615;10.16
2.815;10.59
3.015;11.05
3.215;11.68
3.415;12.38
3.615;13.11
3.815;14.01
4.015;15.09
4.215;16.4
4.415;18.13
4.615;20.29
4.815;23.86
5.015;29.26
5.215;38.45
5.415;55.68
5.596;86.64
5.696;120.17
5.769;166.31
5.819;230.26
5.862;341.48
5.887;421.87
5.912;515.27
5.932;648.2
5.952;817.74
5.972;878.54
5.992;743.28
6.012;577.54
6.032;491.64
6.06;395.31

V [mL];TRIS B TitrationEQP1 E
0;414.9
0.02;415.3
0.04;415.6
0.09;416.1
0.215;416.8
0.415;417.9
0.615;419.1
0.815;420.2
1.015;421.5
1.215;422.6
1.415;423.9
1.615;425.2
1.815;426.4
2.015;427.7
2.215;429.1
2.415;430.4
2.615;431.8
2.815;433.1
3.015;434.5
3.215;435.9
3.415;437.4
3.615;438.9
3.815;440.5
4.015;442.1
4.215;443.8
4.415;445.4
4.615;447.1
4.815;448.9
5.015;450.9
5.215;452.9
5.415;455
5.615;457.2
5.815;459.6
6.015;462.3
6.215;465
6.415;468.1
6.615;471.4
6.815;475.1
7.015;479.4
7.215;484.2
7.415;490.6
7.615;498
7.815;508.5
7.93;517.6
7.999;525
8.053;532.7
8.096;541.5
8.123;547.9
8.152;558
8.172;568.1
8.192;582.7
8.212;602.9
8.232;622.6
8.252;636.1
8.272;645.1
8.299;653.6
8.335;662.4
8.378;669.5
8.448;678.3
8.533;685.8
8.662;694.3

V [mL];TRIS B TitrationEQP1 dE/dV
0.415;5.99
0.615;5.77
0.815;5.9
1.015;6.05
1.215;6.12
1.415;6.23
1.615;6.35
1.815;6.47
2.015;6.61
2.215;6.65
2.415;6.72
2.615;6.8
2.815;6.84
3.015;6.99
3.215;7.22
3.415;7.5
3.615;7.78
3.815;7.95
4.015;8.07
4.215;8.24
4.415;8.51
4.615;8.86
4.815;9.29
5.015;9.73
5.215;10.34
5.415;10.91
5.615;11.6
5.815;12.43
6.015;13.39
6.215;14.53
6.415;15.66
6.615;17.33
6.815;19.34
7.015;22.3
7.215;27.01
7.415;35.02
7.615;50.01
7.815;80.99
7.93;117.11
7.999;158.34
8.053;218.76
8.096;312.06
8.123;386.4
8.152;485.37
8.172;591.85
8.192;743.97
8.212;815.22
8.232;717.67
8.252;554.01
8.272;470.58
8.299;384.76

