V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-172.8
0.5715;-119.7
0.857;-110.4
1;-105.9
1.2;-99.8
1.4;-95.4
1.6;-90.8
1.8;-86.1
2;-82.3
2.2;-77.5
2.4;-74
2.6;-69.8
2.8;-65.5
3;-61.9
3.2;-57
3.4;-51.3
3.6;-46.3
3.8;-41.1
4;-33.6
4.2;-26.2
4.4;-15.7
4.516;-7.7
4.603;0.6
4.665;10.1
4.6975;14.2
4.773;30.5
4.795;35.2
4.832;55.3
4.852;70.4
4.872;112.6
4.892;143.5
4.912;159.2
4.932;168.8
4.9595;177.3
4.9995;186.4
5.0475;193.8
5.1225;202.5
5.217;210
5.361;218.6
5.542;226.4
5.742;232.9
5.942;238.1
6.142;242.1
6.342;245.7
6.542;249.2
6.742;251.7
6.942;253.9
7.142;256.4
7.342;258.3
7.542;260.1
7.742;261.8
7.942;263.6
8.142;264.9
8.342;266.3
8.542;267.5
8.742;268.8
8.942;269.9
9.142;271.1
9.342;272
9.542;273.1
9.742;274.2
9.942;275
10;275

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;19.49
1.6;22.59
1.8;21.24
2;20.88
2.2;20.52
2.4;19.73
2.6;20.11
2.8;21.28
3;22
3.2;23.85
3.4;25.18
3.6;27.58
3.8;30.95
4;36.15
4.2;48.75
4.4;75.13
4.516;101.06
4.603;140.81
4.665;190.47
4.6975;246.33
4.773;482.07
4.795;558.18
4.832;778.98
4.852;992.06
4.872;1081.39
4.892;1013.49
4.912;738.81
4.932;633.85
4.9595;499.43
4.9995;299.17
5.0475;188.04
5.1225;125.5
5.217;88.73
5.361;59.59
5.542;40.22
5.742;29.12
5.942;23.09
6.142;18.91
6.342;16.32
6.542;14.38
6.742;12.81
6.942;11.43
7.142;10.35
7.342;9.55
7.542;9.04
7.742;8.25
7.942;7.55
8.142;7.09
8.342;6.62
8.542;6.16
8.742;5.8
8.942;5.71
9.142;5.49

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-173.4
0.5715;-121.3
0.857;-109.2
1;-104.3
1.2;-99.6
1.4;-94.2
1.6;-88.7
1.8;-82.9
2;-79.4
2.2;-74.1
2.4;-69.4
2.6;-66.2
2.8;-62
3;-56.6
3.2;-51.4
3.4;-45.1
3.6;-39.2
3.8;-31.1
3.9935;-21.3
4.1215;-14
4.2465;-2.9
4.304;5.3
4.339;9.3
4.4265;33.1
4.4465;36.2
4.4965;67.8
4.5165;104
4.5365;141.7
4.5565;157.7
4.58;169.2
4.6065;177.9
4.643;186.5
4.69;193.7
4.7705;202.5
4.8725;211.1
4.9975;218.6
5.1815;226
5.3815;233
5.5815;237.7
5.7815;242.6
5.9815;245.5
6.1815;249.2
6.3815;252
6.5815;254.4
6.7815;256.5
6.9815;258.3
7.1815;260.2
7.3815;261.8
7.5815;263.7
7.7815;264.8
7.9815;266.6
8.1815;268.1
8.3815;269.4
8.5815;270.1
8.7815;271.4
8.9815;272.4
9.1815;273.5
9.3815;274.6
9.5815;275.6
9.7815;276.6
9.9815;277.1
10;277.5

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;22.19
1.6;24.8
1.8;24.81
2;23.26
2.2;21.52
2.4;20.71
2.6;21.52
2.8;22.92
3;24.22
3.2;27.61
3.4;31.13
3.6;35.89
3.8;45.96
3.9935;67.24
4.1215;93.75
4.2465;154.96
4.304;224.88
4.339;283.51
4.4265;550.3
4.4465;594.77
4.4965;829.52
4.5165;986.7
4.5365;981.07
4.5565;734.71
4.58;574.55
4.6065;507.58
4.643;326.07
4.69;195.63
4.7705;125.69
4.8725;85.55
4.9975;60.8
5.1815;40.64
