V [mL];Benzoic acid TitrationEQP1 E
0;150.1
0.02;140.6
0.04;130.5
0.06;123.6
0.094;115.7
0.145;108
0.226;99.9
0.349;91.8
0.531;83.6
0.731;77
0.931;71.4
1.131;66.6
1.331;61.4
1.531;57.4
1.731;52.2
1.931;48
2.131;43.2
2.331;38.2
2.531;32.7
2.731;26.6
2.931;19.1
3.131;9.8
3.277;0.5
3.37;-7.5
3.439;-14.8
3.5;-24.2
3.536;-31.7
3.564;-39.6
3.585;-47.8
3.605;-61.4
3.625;-97.6
3.645;-206.7
3.665;-237.1
3.685;-251.6
3.708;-260.8
3.744;-269.3
3.801;-276.8
3.911;-285.2
4.09;-291.1
4.29;-296.4

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.145;-175.56
0.226;-115.75
0.349;-72.73
0.531;-44.99
0.731;-31.21
0.931;-25.8
1.131;-23.57
1.331;-22.73
1.531;-22.55
1.731;-22.63
1.931;-22.98
2.131;-23.79
2.331;-25.58
2.531;-28.37
2.731;-34.19
2.931;-43.65
3.131;-63.06
3.277;-89.91
3.37;-121.16
3.439;-168.04
3.5;-294.24
3.536;-648.79
3.564;-917.57
3.585;-1091.37
3.605;-1521.06
3.625;-2140.76
3.645;-1924.58
3.665;-1318.45
3.685;-1214.04
3.708;-988.59

V [mL];Benzoic acid TitrationEQP1 E
0;153.8
0.02;142.4
0.04;131.9
0.06;125
0.095;116.5
0.143;109
0.221;101.1
0.342;93
0.524;85
0.724;77.9
0.924;72.2
1.124;67.1
1.324;62.3
1.524;57.9
1.724;53.3
1.924;48.7
2.124;43.5
2.324;38.8
2.524;32.8
2.724;26.7
2.924;19.2
3.124;9.4
3.257;0.6
3.346;-7.4
3.412;-15.2
3.463;-23.3
3.501;-30.8
3.533;-39.5
3.554;-47.5
3.574;-63.2
3.594;-108.8
3.614;-215.8
3.634;-239.1
3.665;-254.7
3.702;-264.5
3.759;-272.8
3.859;-280.9
4.033;-288
4.233;-292.8
4.433;-296.1

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.143;-184.12
0.221;-119.65
0.342;-74.96
0.524;-46.07
0.724;-32.3
0.924;-26.38
1.124;-23.66
1.324;-22.81
1.524;-22.36
1.724;-22.78
1.924;-23.48
2.124;-24.48
2.324;-26.26
2.524;-29.24
2.724;-34.8
2.924;-45.47
3.124;-67.16
3.257;-94.01
3.346;-126.05
3.412;-175.89
3.463;-306.19
3.501;-635.61
3.533;-932.01
3.554;-1116.4
3.574;-1649.15
3.594;-1905.5
3.614;-1411.65
3.634;-1279.67
3.665;-1073.72
3.702;-729.33

V [mL];Benzoic acid TitrationEQP1 E
0;170.5
0.02;154.4
0.04;142
0.06;133.9
0.09;126
0.138;118
0.213;110.1
0.334;101.8
0.51;93.8
0.71;87.4
0.91;81.6
1.11;77.4
1.31;72.8
1.51;68.5
1.71;63.2
1.91;58.6
2.11;54
2.31;49.2
2.51;44.1
2.71;37.8
2.91;29.4
3.092;11.1
3.125;10.5
3.207;9.2
3.407;2.9
3.607;-3.8
3.807;-16.9
3.881;-24.3
3.933;-30.7
3.985;-41
4.01;-48.4
4.03;-56.3
4.05;-68.8
4.07;-98.9
4.09;-235
4.11;-251.9
4.16;-268.8
4.219;-277.5
4.343;-286.3
4.543;-293.7
4.743;-297.7
4.943;-300.5

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.138;-210.24
0.213;-129.16
0.334;-77.45
0.51;-46.17
0.71;-30.35
0.91;-24.33
1.11;-22.42
1.31;-22.23
1.51;-22.63
1.71;-22.86
1.91;-23
2.11;-20.74
2.31;-23.92
2.51;-31.77
2.71;-45.09
2.91;-51.71
3.092;-52.11
3.125;-49.48
3.207;-41.38
3.407;-31.39
3.607;-40.92
3.807;-107.55
3.881;-159.65
3.933;-255
3.985;-711.19
4.01;-1059.08
4.03;-1106.36
4.05;-1683.16
4.07;-1421.46
4.09;-1270.44
4.11;-1277.09
4.16;-897.9

V [mL];Benzoic acid TitrationEQP1 E
0;163.3
0.02;149.7
0.04;137.8
0.06;129.7
0.089;121.8
0.133;114.4
0.209;105.5
0.308;98.3
0.485;89.2
0.685;82.3
0.885;76.6
1.085;71.5
1.285;66.9
1.485;62.6
1.685;58.2
1.885;53.9
2.085;49.3
2.285;44.7
2.485;39.7
2.685;34.3
2.885;28.2
3.085;20.9
3.285;11.8
3.442;2.2
3.537;-4.1
3.65;-16.5
3.694;-24.1
3.723;-31.5
3.745;-40.3
3.765;-52.7
3.785;-81
3.805;-223.7
3.825;-243.7
3.875;-261
3.942;-271.1
4.065;-280.2
4.265;-287.6
4.465;-292
4.665;-294.9

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.133;-212.62
0.209;-133.84
0.308;-86.55
0.485;-51
0.685;-33.57
0.885;-26.17
1.085;-23.12
1.285;-21.73
1.485;-21.52
1.685;-21.5
1.885;-21.88
2.085;-22.61
2.285;-23.69
2.485;-25.34
2.685;-28.71
2.885;-32.99
3.085;-41.71
3.285;-58.74
3.442;-85.6
3.537;-120.46
3.65;-238.46
3.694;-696.8
3.723;-1112.3
3.745;-1073.48
3.765;-1494.08
3.785;-1429.76
3.805;-1259.01
3.825;-1309.5
3.875;-931.57

V [mL];Benzoic acid TitrationEQP1 E
0;165
0.02;150.6
0.04;137.9
0.06;129.9
0.091;121.3
0.133;114.2
0.21;105.5
0.317;97.5
0.475;89.6
0.675;82.6
0.875;76.9
1.075;71.9
1.275;67.5
1.475;63.1
1.675;58.5
1.875;54.4
2.075;49.9
2.275;45.3
2.475;40.4
2.675;35.3
2.875;29.3
3.075;22.4
3.275;14
3.454;3.7
3.558;-2.5
3.686;-16.8
3.724;-23.1
3.756;-30.7
3.78;-39.2
3.8;-51
3.82;-76.6
3.84;-220.7
3.86;-243.1
3.906;-261.3
3.963;-271.3
4.066;-280.4
4.247;-288.3
4.447;-293.3
4.647;-296.9

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.133;-217.66
0.21;-134.4
0.317;-84.07
0.475;-52.06
0.675;-33.63
0.875;-25.99
1.075;-22.93
1.275;-21.74
1.475;-21.4
1.675;-21.48
1.875;-21.75
2.075;-22.31
2.275;-23.18
2.475;-24.57
2.675;-27.77
2.875;-30.94
3.075;-38.64
3.275;-53.38
3.454;-80.12
3.558;-113.4
3.686;-228.22
3.724;-647.18
3.756;-1088.59
3.78;-1082.47
3.8;-1426.15
3.82;-1569.61
3.84;-1236.41
3.86;-1326.34
3.906;-990.42

V [mL];Benzoic acid TitrationEQP1 E
0;156.1
0.02;144.5
0.04;133.3
0.06;126.4
0.097;117.2
0.142;110.3
0.226;101.6
0.338;94
0.52;85.5
0.72;78.9
0.92;73.2
1.12;68.3
1.32;63.4
1.52;59.1
1.72;54.5
1.92;50.2
2.12;45.3
2.32;40.4
2.52;35
2.72;29.2
2.92;22.3
3.12;13.6
3.288;3
3.377;-3.5
3.472;-13.4
3.525;-21.2
3.563;-28.7
3.594;-36.7
3.618;-45.4
3.638;-55.3
3.658;-73.6
3.678;-181.3
3.698;-227.8
3.718;-242.9
3.751;-255.7
