V [mL];TRIS A TitrationEQP1 E
0;408.3
0.02;409.1
0.04;409.4
0.09;410.2
0.215;411.5
0.415;413.1
0.615;414.8
0.815;416.7
1.015;418.4
1.215;420.2
1.415;421.9
1.615;423.7
1.815;425.4
2.015;427.3
2.215;429.1
2.415;431
2.615;432.8
2.815;434.8
3.015;436.8
3.215;439
3.415;441.1
3.615;443.3
3.815;445.8
4.015;448.3
4.215;450.9
4.415;453.6
4.615;456.7
4.815;460
5.015;463.6
5.215;467.4
5.415;472.2
5.615;477.2
5.815;483.4
6.015;491.6
6.208;502.2
6.316;511.1
6.38;518
6.438;526.5
6.478;533.9
6.512;542.9
6.533;550
6.553;558.8
6.573;572.3
6.593;594.6
6.613;619.6
6.633;635.1
6.653;645.8
6.674;653.9
6.703;661.9
6.743;670.1
6.796;678
6.871;686.1
6.972;694.1

V [mL];TRIS A TitrationEQP1 dE/dV
0.415;9.29
0.615;8.79
0.815;8.74
1.015;8.76
1.215;8.83
1.415;8.77
1.615;8.84
1.815;8.97
2.015;9.07
2.215;9.19
2.415;9.39
2.615;9.67
2.815;9.88
3.015;10.27
3.215;10.69
3.415;11.19
3.615;11.58
3.815;12.11
4.015;12.75
4.215;13.63
4.415;14.4
4.615;15.57
4.815;17.03
5.015;18.56
5.215;20.48
5.415;23.38
5.615;28.41
5.815;36.77
6.015;52.78
6.208;84.36
6.316;118.2
6.38;153.69
6.438;212.14
6.478;302.55
6.512;420.88
6.533;490.32
6.553;607.95
6.573;800.99
6.593;923.58
6.613;855.02
6.633;668.73
6.653;528.76
6.674;453.23

V [mL];TRIS A TitrationEQP1 E
0;409.3
0.02;410
0.04;410.5
0.09;411
0.215;411.2
0.415;407.6
0.615;400.8
0.815;399.1
1.015;404.8
1.215;406.5
1.415;408.8
1.615;412.2
1.815;414.5
2.015;418.2
2.215;419.8
2.415;422.5
2.615;423.8
2.815;426.4
3.015;428.8
3.215;430.9
3.415;432.4
3.615;434.6
3.815;436.5
4.015;438.6
4.215;440.4
4.415;442.4
4.615;444.6
4.815;446.8
5.015;449.1
5.215;451.5
5.415;454.1
5.615;456.9
5.815;459.8
6.015;463.1
6.215;466.6
6.415;470.6
6.615;475.1
6.815;480.3
7.015;486.5
7.215;494.4
7.415;505.3
7.522;513.8
7.591;521.4
7.644;528.6
7.691;537.4
7.723;545.4
7.747;553.6
7.767;563.2
7.787;576.7
7.807;597.4
7.827;618.8
7.847;634
7.867;644.1
7.891;652.6
7.923;661.1
7.963;668.6
8.023;677.1
8.099;684.7
8.211;692.9

V [mL];TRIS A TitrationEQP1 dE/dV
0.415;-13.3
0.615;-6.89
0.815;1.66
1.015;8.66
1.215;15.15
1.415;17.33
1.615;15.09
1.815;12.84
2.015;13
2.215;11.72
2.415;11.01
2.615;10.66
2.815;10.32
3.015;10.57
3.215;10.2
3.415;10.07
3.615;9.44
3.815;9.57
4.015;9.86
4.215;10.12
4.415;10.23
4.615;10.71
4.815;11.25
5.015;11.89
5.215;12.5
5.415;13.27
5.615;14.26
5.815;15.42
