V [mL];Concentration determination TitrationEQP1 E
0;687.6
2.857;659.8
4.286;653.4
5;650.2
5.05;657.1
5.1;657.4
5.15;657.7
5.2;657.9
5.25;658
5.3;658.1
5.35;658.2
5.4;658.1
5.45;658.1
5.5;657.9
5.55;657.6
5.6;657.3
5.65;657.1
5.7;656.5
5.75;655.3
5.8;654.9
5.85;653.6
5.9;650.9
5.95;647.3
6;639.5
6.05;622
6.061;615.4
6.069;609.8
6.079;601.2
6.086;594.6
6.094;585.2
6.099;578.8
6.105;569.9
6.11;562.6
6.116;551.8
6.121;541.3
6.126;529.9
6.131;517.5
6.136;504.8
6.141;493.6
6.146;486.5
6.155;482.9
6.177;482.3
6.227;482.8
6.277;483.5
6.327;484.1
6.377;484.9
6.427;485.6
6.477;486.1
6.527;486.9
6.577;487.5
6.627;488.3
6.677;489
6.727;489.6
6.777;490.3
6.827;491
6.877;491.6
6.927;492.3
6.977;492.8
7;493.3

V [mL];Concentration determination TitrationEQP1 dE/dV
5.1;9.18
5.15;9.49
5.2;15.68
5.25;-5.18
5.3;1.44
5.35;0.2
5.4;-1.32
5.45;-2.45
5.5;-3.09
5.55;-5.53
5.6;-7.39
5.65;-8.36
5.7;-10.44
5.75;-12.23
5.8;-11.99
5.85;-30.62
5.9;-68.84
5.95;-142.08
6;-285.55
6.05;-572.09
6.061;-698.46
6.069;-810.17
6.079;-953.64
6.086;-1069.7
6.094;-1234
6.099;-1352.9
6.105;-1524.03
6.11;-1698.08
6.116;-1943.23
6.121;-2216.2
6.126;-2443.28
6.131;-2157.18
6.136;-1589.43
6.141;-1461.09
6.146;-1157.42
6.155;-703.29
6.177;-283.58
6.227;-38.88
6.277;10.78
6.327;16.28
6.377;14.36
6.427;13.59
6.477;13.61
6.527;13.72
6.577;13.67
6.627;14.04
6.677;13.91
6.727;13.6
6.777;13.26

V [mL];Concentration determination TitrationEQP1 E
0;706
2.857;675.9
4.286;665.1
5;663.4
5.05;672.4
5.09;672.6
5.14;672.9
5.19;673.1
5.24;673.1
5.29;671.4
5.34;673.2
5.39;673.1
5.44;673
5.49;672.8
5.54;672.6
5.59;672.1
5.64;671.7
