V [mL];CPC TitrationEQP1 E
0;260.5
2;243.5
3;230.2
3.5;221.2
3.7;213.5
3.9;207
4.1;202
4.3;195.2
4.5;185.2
4.6265;183.6
4.8265;175.2
5.0065;161.5
5.065;161.8
5.211;150.8
5.2675;149.6
5.4085;126.1
5.4285;128.4
5.4785;122.4
5.5425;113.2
5.5885;106.1
5.6365;95.5
5.662;87.8
5.682;84.5
5.732;73.4
5.7585;66.6
5.7855;60.8
5.83;52.7
5.8825;45.2
5.9535;38.4
6.077;27.7
6.179;22.6
6.379;12.4
6.53;11.1
6.73;1.2
6.8585;4.3
7.0585;-0.6
7.2585;-3.1
7.4585;-5.5
7.6585;-8.4
7.8585;-9.8
8.0585;-12.3
8.2585;-12.2
8.4585;-14.1
8.6585;-15.7
8.8585;-16.8
9.0585;-17.9
9.2585;-18.8
9.4585;-20
9.6585;-21.1
9.8585;-22.1
10;-21.4

V [mL];CPC TitrationEQP1 dE/dV
3.9;-29.67
4.1;-33.89
4.3;-36.7
4.5;-37.55
4.6265;-42.29
4.8265;-47.69
5.0065;-60.42
5.065;-64.77
5.211;-85.93
5.2675;-91.85
5.4085;-120.15
5.4285;-134.33
5.4785;-144.21
5.5425;-158.47
5.5885;-171.6
5.6365;-225.22
5.662;-227.4
5.682;-235.26
5.732;-227.43
5.7585;-200.61
5.7855;-184.67
5.83;-158.45
5.8825;-137.25
5.9535;-107.6
6.077;-76.02
6.179;-58.65
6.379;-36.45
6.53;-26.88
6.73;-18.35
6.8585;-16.74
7.0585;-13.33
7.2585;-13.17
7.4585;-10.92
7.6585;-11.39
7.8585;-8.24
8.0585;-7.62
8.2585;-6.71
8.4585;-6.13
8.6585;-6.13
8.8585;-5.89
9.0585;-6.4

V [mL];CPC TitrationEQP1 E
0;257.3
2;245.6
3;233.7
3.5;223.1
3.7;211.4
3.7935;210.2
3.9935;204.9
4.1935;200.3
4.3935;194.4
4.5935;188
4.7935;179.9
4.99;172.4
5.19;164.9
5.39;153.6
5.4895;142.9
5.5295;134.8
5.5505;126.8
5.5705;118.5
5.5905;108.9
5.6105;99.5
5.6305;91.9
5.6565;82
5.6775;74.7
5.702;69.4
5.7635;56.3
5.801;53.4
5.895;43.8
5.955;39.2
6.0965;29.3
6.2205;23.5
6.4205;14.9
6.6205;10.3
6.8205;6.2
7.0205;3
7.2205;-0.5
7.4205;-2.7
7.6205;-5.7
7.8205;-7.8
8.0205;-9.1
8.2205;-11
8.4205;-12.4
8.6205;-13.6
8.8205;-15.1
9.0205;-16.9
9.2205;-17.8
9.4205;-18.7
9.6205;-19.8
9.8205;-20.8
10;-21.4

V [mL];CPC TitrationEQP1 dE/dV
3.7935;-27.39
3.9935;-31.18
4.1935;-29.75
4.3935;-28.31
4.5935;-32.31
4.7935;-36.02
4.99;-43.92
5.19;-64.21
5.39;-125.9
5.4895;-212.11
5.5295;-284.57
5.5505;-321.84
5.5705;-341.16
5.5905;-417.14
5.6105;-424.05
5.6305;-389.28
5.6565;-322.83
5.6775;-284.81
5.702;-247.78
5.7635;-173.54
5.801;-147.27
5.895;-103.54
5.955;-86.81
6.0965;-61.79
6.2205;-47.52
6.4205;-33.08
6.6205;-23.75
6.8205;-18.16
7.0205;-15.73
7.2205;-13.61
7.4205;-12.8
7.6205;-11.25
7.8205;-9.71
8.0205;-8.2
8.2205;-7.65
8.4205;-7.17
8.6205;-7.16
8.8205;-6.83
9.0205;-6.28

V [mL];CPC TitrationEQP1 E
0;257.4
2;245.2
3;234.8
3.5;223.8
3.7;210.7
3.775;209.7
3.9625;206
4.1625;200.5
4.3625;194.1
4.5625;190.4
4.7625;185.4
4.9625;177.5
5.1625;170.5
5.3625;160.2
5.4825;151.4
5.559;141.1
5.5915;132.3
5.6115;122.3
5.6315;112.7
5.6515;101
5.6715;93.3
5.7025;79.9
5.7225;70.1
5.7425;65.6
5.7925;53.3
5.8225;49.4
5.8975;41.4
5.9915;33.2
6.1025;23.4
6.1905;22.1
6.3905;12.3
6.524;11.5
6.724;4.1
6.924;1.8
7.124;-1.7
7.324;-5.2
7.524;-6.8
7.724;-9
7.924;-11
8.124;-13
8.324;-13.5
8.524;-16.5
8.724;-16.7
8.924;-19
9.124;-19.4
9.324;-20.7
9.524;-21.4
9.724;-22.3
9.924;-24.2
10;-23.3

V [mL];CPC TitrationEQP1 dE/dV
3.775;-26.11
3.9625;-31.09
4.1625;-27.06
4.3625;-22.4
4.5625;-26.11
4.7625;-28.7
4.9625;-34.77
5.1625;-52.51
5.3625;-98.31
5.4825;-167.77
5.559;-261.28
5.5915;-326.28
5.6115;-356.75
5.6315;-401.12
5.6515;-482.53
5.6715;-465.22
5.7025;-377.77
5.7225;-323.41
5.7425;-287.21
5.7925;-211.93
5.8225;-182.84
5.8975;-124.34
5.9915;-86
6.1025;-62.9
6.1905;-50.75
6.3905;-32.79
6.524;-27.15
6.724;-21.11
6.924;-17.86
7.124;-14.14
7.324;-13.34
7.524;-10.15
7.724;-10.28
7.924;-8.48
8.124;-8.28
8.324;-8.04
8.524;-7.28
8.724;-6.67
8.924;-5.72
9.124;-5.5

