V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-41.1
0.05;-37.2
0.1;-30.6
0.15;-28
0.275;-21.6
0.437;-13.8
0.611;-9.2
1.046;-0.1
1.5335;4.7
2.0335;12.1
2.5335;17.6
3.0335;22.8
3.5335;29.7
4.0335;38.4
4.457;49.5
4.662;58.1
4.7795;64.2
4.9035;79.6
4.9535;87.1
5.0035;112.6
5.0535;172.5
5.1035;187.3
5.212;200.4
5.376;208.4
5.7805;218.2
6.2805;223.6
6.7805;227.1
7.2805;229.6

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.437;41.16
0.611;31.6
1.046;19.39
1.5335;13.19
2.0335;10.37
2.5335;10.08
3.0335;12.01
3.5335;16.45
4.0335;27.67
4.457;57.89
4.662;124
4.7795;199.49
4.9035;261.33
4.9535;244.29
5.0035;310.64
5.0535;227.19
5.1035;257.58
5.212;217.98

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-48.2
0.05;-41.6
0.1;-36
0.183;-29.9
0.355;-20.1
0.53;-14.8
0.9675;-5.7
1.4675;2
1.9675;7.6
2.4675;12.6
2.9675;18.4
3.4675;25.1
3.9675;33.7
4.3995;44
4.6405;52.9
4.78;61.1
4.867;69.5
4.917;75.9
4.967;89
5.017;138
5.067;174.9
5.117;187.2
5.2145;197.3
5.3985;205.9
5.7825;215.1
6.2825;220.2
6.7825;224
7.2825;226.5

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.53;38.9
0.9675;21.96
1.4675;13.53
1.9675;10.22
2.4675;9.8
2.9675;11.3
3.4675;15.56
3.9675;25.01
4.3995;44.68
4.6405;96.53
4.78;188.51
4.867;279.51
4.917;272.66
4.967;357.55
5.017;316.73
5.067;288.13
5.117;294.79
5.2145;210.16

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-47.1
0.05;-40.2
0.1;-34.1
0.1755;-29.4
0.3645;-19.4
0.5425;-15.5
0.9875;-6.2
1.3865;-0.9
1.8865;5.1
2.3865;10.5
2.8865;17.9
3.3865;23.9
3.8865;31.6
4.3865;44.3
4.5865;50.1
4.8255;65.2
4.884;70.1
4.957;82.9
5.007;114.2
5.057;170.4
5.107;184.1
5.2275;197.1
5.415;205.4
5.8585;214.2
6.3585;219.3
6.8585;222.3
7.3585;224.7

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.5425;35.24
0.9875;19.93
1.3865;14.55
1.8865;11.21
2.3865;10.99
2.8865;11.4
3.3865;15.17
3.8865;23.72
4.3865;52.53
4.5865;106.03
4.8255;219.87
4.884;240.62
4.957;220.88
5.007;293.52
5.057;206.23
5.107;276.43
5.2275;205.45

