V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-49
0.05;-41.6
0.1;-36.6
0.2165;-27.5
0.348;-21.2
0.6195;-14.9
1.1195;-6
1.6195;-0.4
2.1195;5
2.6195;10.9
3.1195;16.4
3.6195;22.6
4.1195;31.3
4.548;40.9
4.823;50.9
4.9575;58.1
5.061;67.1
5.1165;74.4
5.1665;87.7
5.2165;127.2
5.2665;175.3
5.3165;187.8
5.44;200
5.6435;208.2
6.127;217.6
6.627;222.4
7.127;225
7.627;227.1

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.6195;32.15
1.1195;17.22
1.6195;11.6
2.1195;9.99
2.6195;9.96
3.1195;11.66
3.6195;15.53
4.1195;23.79
4.548;41.89
4.823;87.56
4.9575;172.92
5.061;272.7
5.1165;260.18
5.1665;337.58
5.2165;288.42
5.2665;276.59
5.3165;293.95
5.44;201.78

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-49.9
0.05;-43.5
0.1;-37.5
0.1715;-31.9
0.3275;-22.6
0.5065;-17.7
0.954;-9.8
1.454;-3
1.954;2.6
2.454;7.9
2.954;13.7
3.454;19.8
3.954;27.2
4.454;37.4
4.76;46.2
4.957;56.3
5.046;62.4
5.1325;73.2
5.1825;82.8
5.2325;106.6
5.2825;170
5.3325;185
5.4455;198.2
5.6215;206.2
6.0615;215.9
6.5615;220.7
7.0615;224.1
7.5615;226.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.5065;37.76
0.954;20.45
1.454;12.95
1.954;10.33
2.454;10.11
2.954;10.9
3.454;13.69
3.954;19.8
4.454;35.23
4.76;64.58
4.957;147.29
5.046;230.4
5.1325;263.37
5.1825;289.55
5.2325;312.57
5.2825;261.1
5.3325;284.56
5.4455;219.14

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-54
0.05;-46.7
0.1;-40.5
0.1775;-34.9
0.3645;-25.4
0.592;-17.7
0.944;-12.2
1.444;-6.8
1.944;-0.5
2.444;4.8
2.944;10.8
3.444;16.9
3.944;24.5
4.444;34.3
4.7755;43.5
4.9795;53.3
5.0755;60.2
5.15;67.5
5.211;77.5
5.261;94.6
5.311;166
5.361;185.4
5.4365;196.4
5.5825;206.1
5.85;214.3
6.35;221.9
6.85;226.4
7.35;229.1

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.592;34.11
0.944;20.86
1.444;12.93
1.944;10.28
2.444;10.21
2.944;11.38
3.444;13.94
3.944;19.12
4.444;32.37
4.7755;56.79
4.9795;137.53
5.0755;228.89
5.15;283.83
5.211;287.08
5.261;384.45
5.311;276.98
5.361;298.85
5.4365;262.86

