V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-63
2;-4.3
2.05;-4.4
2.1;-3.9
2.15;-3.4
2.2;-2.8
2.25;-2.1
2.3;-1.5
2.35;-0.9
2.4;-0.1
2.45;0.4
2.5;0.9
2.55;1.6
2.6;2.2
2.65;2.8
2.7;3.2
2.75;4
2.8;4.3
2.85;5.1
2.9;5.6
2.95;6.4
3;7
3.05;7.6
3.1;8.2
3.15;8.6
3.2;9.5
3.25;10.1
3.3;10.9
3.35;11.6
3.4;12.3
3.45;13
3.5;13.7
3.55;14.4
3.6;15.3
3.65;16
3.7;16.8
3.75;17.7
3.8;18.6
3.85;19.5
3.9;20.5
3.95;21.4
4;22.5
4.05;23.5
4.1;24.6
4.15;25.7
4.2;26.8
4.25;28.2
4.3;29.5
4.35;31.1
4.4;32.6
4.45;34.4
4.5;36.3
4.55;38.1
4.6;40.4
4.65;42.9
4.7;45.7
4.75;49
4.8;53.3
4.85;58.6
4.9;65.8
4.95;77.4
5;103.3
5.05;158.7
5.1;173.5
5.15;180.3
5.2;183
5.25;185.8
5.3;188.4
5.35;190.6
5.4;192.3
5.45;193.8
5.5;195.2

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;10.62
2.25;13.66
2.3;13
2.35;12.74
2.4;12.32
2.45;12.29
2.5;11.78
2.55;11.84
2.6;11.35
2.65;11.59
2.7;11.09
2.75;11.16
2.8;11.89
2.85;12.53
2.9;13.16
2.95;12.47
3;12.52
3.05;11.76
3.1;12.16
3.15;12.57
3.2;13.63
3.25;14.31
3.3;14.65
3.35;14.31
3.4;13.97
3.45;14.41
3.5;14.45
3.55;15
3.6;15.6
3.65;16.17
3.7;16.92
3.75;17.4
3.8;18.08
3.85;18.92
3.9;19.4
3.95;20
4;20.37
4.05;21.07
4.1;21.75
4.15;23.16
4.2;24.54
4.25;26.56
4.3;29
4.35;31.06
4.4;33.03
4.45;35.22
4.5;38.15
4.55;41.11
4.6;45.66
4.65;51.48
4.7;58.17
4.75;58.72
4.8;52.91
4.85;166.06
4.9;331.89
4.95;477.11
5;544.19
5.05;511.87
5.1;390.82
5.15;221.63
5.2;67.36
5.25;-1.82

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-66.6
2;-4.6
2.05;-4.9
2.1;-4.5
2.15;-3.8
2.2;-3.1
2.25;-2.5
2.3;-1.8
2.35;-1
2.4;-0.4
2.45;0
2.5;0.7
2.55;1.4
2.6;2
2.65;2.4
2.7;3.1
2.75;3.8
2.8;4.2
2.85;4.9
2.9;5.5
2.95;6.2
3;6.6
3.05;7.1
3.1;8.1
3.15;8.6
3.2;9.3
3.25;10.2
3.3;10.8
3.35;11.5
3.4;12.1
3.45;12.8
3.5;13.7
3.55;14.5
3.6;15.1
3.65;16.1
3.7;17
3.75;17.7
3.8;18.5
3.85;19.4
3.9;20.2
3.95;21.3
4;22.3
4.05;23.4
4.1;24.5
4.15;25.7
4.2;26.8
4.25;28.4
4.3;29.4
4.35;30.9
4.4;32.6
4.45;34.4
4.5;36.1
4.55;38.2
4.6;40.3
4.65;42.8
4.7;45.9
4.75;49.1
4.8;53.3
4.85;58.3
4.9;64.7
4.95;75.8
5;98.1
5.05;157.9
5.1;172.9
5.15;177.8
5.2;182.2
5.25;185.5
5.3;188
5.35;190.1
5.4;191.9
5.45;193.4
5.5;194.7

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;11.04
2.25;14.86
2.3;13.45
2.35;12.71
2.4;12.7
2.45;12.18
2.5;11.58
2.55;11.91
2.6;12.07
2.65;11.91
2.7;11.4
2.75;11.99
2.8;12.42
2.85;11.68
2.9;11.49
2.95;11.88
3;12.13
3.05;12.63
3.1;13.63
3.15;14.48
3.2;14.8
3.25;13.89
3.3;13.42
3.35;14.25
3.4;13.93
3.45;14.35
3.5;15.67
3.55;16.29
3.6;16.52
3.65;16.46
3.7;16.13
3.75;16.46
3.8;16.81
3.85;17.33
3.9;18.77
3.95;20.35
4;20.85
4.05;22.34
4.1;23.22
4.15;23.6
4.2;24.68
4.25;26.37
4.3;28.19
4.35;30.49
4.4;32.86
4.45;35.01
4.5;38.73
4.55;41.67
4.6;46.53
4.65;53.18
4.7;58.61
4.75;59.91
4.8;42.03
4.85;150.09
4.9;320.26
4.95;468.38
5;541.09
5.05;516.49
5.1;401.18
5.15;232.74
5.2;74.99
5.25;-2.06

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-65.9
2;-4.6
2.05;-4.8
2.1;-4.4
2.15;-3.6
2.2;-2.8
2.25;-2.3
2.3;-1.7
2.35;-0.8
2.4;-0.3
2.45;0.4
2.5;0.9
2.55;1.4
2.6;2.2
2.65;2.6
2.7;3.2
2.75;3.9
2.8;4.5
2.85;5.1
2.9;5.8
2.95;6.4
3;6.8
3.05;7.5
3.1;8.4
3.15;8.9
3.2;9.7
3.25;10.2
3.3;11
3.35;11.7
3.4;12.5
3.45;13.1
3.5;13.8
3.55;14.5
3.6;15.5
3.65;16
3.7;17.1
3.75;17.7
3.8;18.7
3.85;19.6
3.9;20.5
3.95;21.4
4;22.4
4.05;23.5
4.1;24.7
4.15;25.7
4.2;26.9
4.25;28.4
4.3;29.6
4.35;30.9
4.4;32.5
4.45;34.3
4.5;36.1
4.55;37.8
4.6;40.5
4.65;42.7
4.7;45.4
4.75;49.3
4.8;53.3
4.85;58.6
4.9;65.4
4.95;76.1
5;102.5
5.05;159.9
5.1;173.5
5.15;180.6
5.2;182.2
5.25;185.5
5.3;188.2
5.35;190.1
5.4;191.8
5.45;193.2
5.5;194.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;11.52
2.25;14.74
2.3;13.71
2.35;12.55
2.4;12.59
2.45;12.34
2.5;11.43
2.55;11.17
2.6;11.71
2.65;11.73
2.7;12.24
2.75;12.66
2.8;12.46
2.85;12.19
2.9;12.03
2.95;12.04
3;12.8
3.05;13.04
3.1;13.38
3.15;13.7
3.2;13.96
3.25;13.68
3.3;13.89
3.35;13.99
3.4;14.32
3.45;14.27
3.5;14.59
3.55;15.01
3.6;15.56
3.65;16.32
3.7;16.73
3.75;17.07
3.8;17.38
3.85;18.1
3.9;18.66
3.95;19.92
4;20.13
4.05;21.62
4.1;23.02
4.15;23.85
4.2;24.48
4.25;25.76
4.3;27.95
4.35;29.28
4.4;31.76
4.45;34.92
4.5;37.73
4.55;41.53
4.6;46.28
4.65;53.07
4.7;60.34
4.75;57.98
4.8;47.32
4.85;163.15
4.9;330.45
4.95;479.58
5;548.25
5.05;514.98
5.1;392.66
5.15;220.05
5.2;62.3
5.25;-5.79

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-68.6
2;-3.1
2.05;-5.3
2.1;-4.9
2.15;-3.9
2.2;-3.7
2.25;-3.1
2.3;-2.3
2.35;-1.5
2.4;-1
2.45;-0.3
2.5;0.2
2.55;1.1
2.6;1.6
2.65;2
2.7;2.6
2.75;3.3
2.8;3.7
2.85;4.6
2.9;5.3
2.95;5.8
3;6.4
3.05;7
3.1;7.7
3.15;8.6
3.2;8.9
3.25;9.4
3.3;10.5
3.35;11.1
3.4;11.8
3.45;12.3
3.5;13.2
3.55;14
3.6;14.8
3.65;15.5
3.7;16.2
3.75;17.3
3.8;17.8
3.85;18.9
3.9;19.9
3.95;20.8
4;21.7
4.05;22.8
4.1;24.1
4.15;25
4.2;26.2
4.25;27.6
4.3;28.8
4.35;30.4
4.4;31.9
4.45;33.4
4.5;35.5
4.55;37.1
4.6;39.9
4.65;42.4
4.7;45.2
4.75;48.4
4.8;52.5
4.85;57.9
4.9;64.2
4.95;75.1
5;102.2
5.05;158.7
5.1;172.8
5.15;179.7
5.2;181.8
5.25;184.9
5.3;187.6
5.35;189.4
5.4;191
5.45;192.5
5.5;193.7

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;7.46
2.25;16.23
2.3;12.92
2.35;13.16
2.4;14.12
2.45;13
2.5;12.06
2.55;12.03
2.6;11.42
2.65;10.94
2.7;11.55
2.75;12.14
2.8;13.23
2.85;13.18
2.9;12.44
2.95;12.93
3;13.17
3.05;11.96
3.1;12.53
3.15;13.02
3.2;13.46
3.25;13.33
3.3;13.39
3.35;13.94
3.4;14.86
3.45;14.62
3.5;14.21
3.55;15.76
3.6;15.68
3.65;15.66
3.7;15.81
3.75;16.89
3.8;17.65
3.85;18.12
3.9;19.12
3.95;19.85
4;20.7
4.05;21.1
4.1;22.14
4.15;23.45
4.2;24.85
4.25;25.69
4.3;28.07
4.35;29.53
4.4;31.55
4.45;34.93
4.5;39.18
4.55;43.07
4.6;47.53
4.65;53.65
4.7;58.69
4.75;54.57
4.8;45.07
4.85;161.38
4.9;330.59
4.95;480.08
5;548.69
5.05;516.25
5.1;394.32
5.15;220.82
5.2;62.95
5.25;-4.8

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-64.1
2;-3.8
2.05;-4.1
2.1;-3.4
2.15;-2.7
2.2;-2.2
2.25;-1.4
2.3;-1
2.35;-0.2
2.4;0.2
2.45;1
2.5;1.6
2.55;2.1
2.6;2.8
2.65;3.4
2.7;4.1
2.75;4.5
2.8;5.2
2.85;5.6
2.9;6.3
2.95;7
3;7.7
3.05;8.1
3.1;8.7
3.15;9.4
3.2;9.9
3.25;10.8
3.3;11.3
3.35;12
3.4;12.8
3.45;13.5
3.5;14.2
3.55;15.1
3.6;15.7
3.65;16.6
3.7;17.4
3.75;18.1
3.8;19.1
3.85;19.9
3.9;20.7
3.95;21.9
4;22.7
4.05;23.8
4.1;25
4.15;26.2
4.2;27.2
4.25;28.5
4.3;29.8
4.35;31.4
4.4;32.6
4.45;34.3
4.5;36.1
4.55;38.3
4.6;40.4
4.65;42.6
4.7;45.9
4.75;49.2
4.8;52.7
4.85;57.6
4.9;64.6
4.95;75
5;101.1
5.05;159.7
5.1;173.5
5.15;176.4
5.2;180.7
5.25;184.2
5.3;186.7
5.35;188.7
5.4;190.3
5.45;191.9
5.5;193.2

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;11
2.25;13.24
2.3;12.2
2.35;12.18
2.4;12.3
2.45;12.1
2.5;12.74
2.55;12.27
2.6;12.57
2.65;11.77
2.7;11.56
2.75;11.29
2.8;11.61
2.85;12.08
2.9;12.2
2.95;12.57
3;11.83
3.05;12.11
3.1;11.9
3.15;12.23
3.2;13
3.25;13.76
3.3;13.64
3.35;14.24
3.4;14.51
3.45;14.65
3.5;15.47
3.55;15.17
3.6;15.47
3.65;16.05
3.7;15.92
3.75;16.6
3.8;17.33
3.85;17.6
3.9;18.61
3.95;19.95
4;20.74
4.05;21.83
4.1;22.19
4.15;23.37
4.2;24.59
4.25;25.23
4.3;26.41
4.35;28.82
4.4;31.86
4.45;33.73
4.5;37.25
4.55;42.29
4.6;47.31
4.65;51.25
4.7;56.63
4.75;53.31
4.8;41.01
4.85;156.81
4.9;332.77
4.95;479.34
5;544.61
5.05;509.79
5.1;387.12
5.15;216.44
5.2;60.34
5.25;-4.91

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-61.2
2;-2.9
2.05;-3.1
2.1;-2.4
2.15;-1.8
2.2;-1
2.25;-0.5
2.3;0
2.35;0.6
2.4;1.4
2.45;2
2.5;2.4
2.55;3.1
2.6;3.7
2.65;4.2
2.7;4.8
2.75;5.4
2.8;6.1
2.85;6.5
2.9;7.1
2.95;7.7
3;8.4
3.05;8.9
3.1;9.6
3.15;10.2
3.2;10.8
3.25;11.5
3.3;12.3
3.35;12.8
3.4;13.5
3.45;14.4
3.5;15.1
3.55;15.6
3.6;16.5
3.65;17.3
3.7;18.1
3.75;19
3.8;19.8
3.85;20.7
3.9;21.5
3.95;22.4
4;23.3
4.05;24.5
4.1;25.6
4.15;26.7
4.2;27.8
4.25;29.1
4.3;30.5
4.35;32
4.4;33.5
4.45;34.8
4.5;36.7
4.55;38.8
4.6;41.1
4.65;43.6
4.7;46.3
4.75;49.7
4.8;53.2
4.85;58.7
4.9;65.5
4.95;76.8
5;101.2
5.05;158.6
5.1;172.1
5.15;178.8
5.2;180
5.25;183.1
5.3;185.5
5.35;187.6
5.4;189.2
5.45;190.7
5.5;192

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;11.17
2.25;13.34
2.3;12.07
2.35;12.01
2.4;12.12
2.45;12.29
2.5;11.81
2.55;11.19
2.6;11.47
2.65;11.9
2.7;11.82
2.75;11.28
2.8;11.6
2.85;11.58
2.9;11.6
2.95;11.91
3;12.17
3.05;12.4
3.1;12.64
3.15;12.89
3.2;12.85
3.25;13.34
3.3;13.93
3.35;14.06
3.4;14.02
3.45;14.11
3.5;14.43
3.55;15.12
3.6;15.31
3.65;16.07
3.7;16.93
3.75;17.14
3.8;16.53
3.85;16.96
3.9;17.77
3.95;18.97
4;20.19
4.05;21.19
4.1;22.28
4.15;23.38
4.2;25.03
4.25;25.94
4.3;27.23
4.35;28.74
