V [mL];E
0;-43.8
2;9.5
2.1;6.2
2.2;6.9
2.3;7.9
2.4;8.8
2.5;9.7
2.6;10.9
2.7;11.7
2.8;12.6
2.9;13.8
3;14.8
3.1;16.1
3.2;17
3.3;18.2
3.4;19.6
3.5;20.5
3.6;21.8
3.7;23.2
3.8;24.7
3.9;26.4
4;28
4.1;29.9
4.2;31.5
4.3;33.7
4.4;36.4
4.5;39.1
4.6;41.9
4.7;45.6
4.8;50.4
4.9;56.3
5;65.1
5.1;80.9
5.2;162.6
5.3;186.4
5.4;194.9
5.5;199.7
5.6;202.8
5.7;205.1
5.8;207.1
5.9;208.5
6;209.7
6.1;210.8

V [mL];dE/dV
2.4;5.26
2.5;12.06
2.6;9.7
2.7;9.98
2.8;10.31
2.9;10.43
3;11.01
3.1;11.47
3.2;11.37
3.3;11.34
3.4;11.66
3.5;12.3
3.6;13.25
3.7;14.34
3.8;15.38
3.9;16.22
4;17.01
4.1;18.6
4.2;20.29
4.3;22.16
4.4;24.86
4.5;27.78
4.6;30.24
4.7;1.91
4.8;55.1
4.9;159.43
5;263.06
5.1;326.75
5.2;329.76
5.3;270.61
5.4;167.68
5.5;57.41
5.6;-10.94

