V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-54.4
0.01;-48.5
0.02;-47.2
0.045;-44.3
0.1075;-38
0.1975;-31.3
0.2975;-26.3
0.3975;-22.8
0.4975;-20
0.5975;-17.9
0.6975;-15.7
0.7975;-14.2
0.8975;-12.6
0.9975;-11.2
1.0975;-10.2
1.1975;-8
1.2975;-6.6
1.3975;-5.9
1.4975;-4.9
1.5975;-3.8
1.6975;-2.5
1.7975;-1.2
1.8975;0
1.9975;1.1
2.0975;2
2.1975;3.3
2.2975;4.4
2.3975;5.5
2.4975;6.4
2.5975;7.5
2.6975;8.9
2.7975;9.8
2.8975;11.1
2.9975;12.2
3.0975;13.6
3.1975;14.8
3.2975;16.2
3.3975;17.6
3.4975;19.2
3.5975;20.8
3.6975;22.2
3.7975;24
3.8975;25.8
3.9975;27.7
4.0975;30
4.1975;32.5
4.2975;35.1
4.3975;37.8
4.4975;41.3
4.5975;45.7
4.6975;51
4.7975;57.8
4.8975;69.1
4.9475;79
4.9705;83.5
5.012;103.7
5.022;116.2
5.032;133
5.042;145.7
5.052;153.9
5.067;162.9
5.0855;169.8
5.1195;177.6
5.177;185
5.277;193.3
5.377;197.7
5.477;201.1

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.1975;66.11
0.2975;44.75
0.3975;32.07
0.4975;24.09
0.5975;19.97
0.6975;16.96
0.7975;15.43
0.8975;15.13
0.9975;14.9
1.0975;14.23
1.1975;13.45
1.2975;12.23
1.3975;11.41
1.4975;10.9
1.5975;10.88
1.6975;11.84
1.7975;12.2
1.8975;11.72
1.9975;11.4
2.0975;10.99
2.1975;10.62
2.2975;10.85
2.3975;10.88
2.4975;10.99
2.5975;10.89
2.6975;11.39
2.7975;11.73
2.8975;12.06
2.9975;12.18
3.0975;12.67
3.1975;13.67
3.2975;14.03
3.3975;14.65
3.4975;15.14
3.5975;15.71
3.6975;16.29
3.7975;17.47
3.8975;19.15
3.9975;20.88
4.0975;22.51
4.1975;24.43
4.2975;27.38
4.3975;30.12
4.4975;35.2
4.5975;46.96
4.6975;63.48
4.7975;112.38
4.8975;246.2
4.9475;401.63
4.9705;519.49
5.012;773.41
5.022;741.31
5.032;851.55
5.042;808.1
5.052;627.82
5.067;650.59
5.0855;463.1

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-55.8
0.01;-49.3
0.02;-48.1
0.045;-45.3
0.1075;-39.1
0.1985;-32.6
0.2985;-26.8
0.3985;-23.1
0.4985;-20.2
0.5985;-17.8
0.6985;-15.8
0.7985;-14.1
0.8985;-12.3
0.9985;-10.9
1.0985;-9.6
1.1985;-8
1.2985;-6.8
1.3985;-5.8
1.4985;-4.7
1.5985;-3.6
1.6985;-2.5
1.7985;-1.1
1.8985;-0.1
1.9985;0.9
2.0985;2
2.1985;3.2
2.2985;4.3
2.3985;5.3
2.4985;6.4
2.5985;7.5
2.6985;8.6
2.7985;10
2.8985;11
2.9985;12.2
3.0985;13.4
3.1985;14.8
3.2985;16.1
3.3985;17.5
3.4985;18.9
3.5985;20.5
3.6985;22.1
3.7985;23.8
3.8985;25.6
3.9985;27.5
4.0985;29.7
4.1985;32
4.2985;34.6
4.3985;37.3
4.4985;40.9
4.5985;45
4.6985;50.1
4.7985;56.6
4.8985;66.5
4.9635;77.1
4.9935;83.9
5.019;92.7
5.034;101.7
5.044;114.6
5.054;130
5.064;142.5
5.074;151
5.088;159.9
5.1045;166.9
5.133;174.3
5.183;182.4
5.261;189.3
5.361;195.2
5.461;198

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.1985;68.06
0.2985;47.34
0.3985;34.43
0.4985;26.08
0.5985;21.15
0.6985;17.94
0.7985;16.68
0.8985;15.6
0.9985;14.63
1.0985;13.68
1.1985;12.69
1.2985;11.62
1.3985;11.33
1.4985;11.15
1.5985;11.1
1.6985;11.35
1.7985;11.37
1.8985;11.25
1.9985;11.05
2.0985;10.85
2.1985;10.78
2.2985;10.83
2.3985;10.96
2.4985;11.05
2.5985;11.28
2.6985;11.5
2.7985;11.76
2.8985;11.93
2.9985;12.25
3.0985;12.54
3.1985;13.02
3.2985;13.8
3.3985;14.29
3.4985;14.94
3.5985;15.57
3.6985;16.52
3.7985;17.51
3.8985;18.87
3.9985;20.06
4.0985;21.79
4.1985;23.99
4.2985;26.95
4.3985;30.19
4.4985;34.86
4.5985;44.48
4.6985;60.91
4.7985;94.47
4.8985;177.57
4.9635;322.23
4.9935;480.56
5.019;677.11
5.034;776.29
5.044;812.95
5.054;1029.23
5.064;865.53
5.074;757.89
5.088;671.62
5.1045;492.97

