V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-47.4
1.143;-3.4
1.7145;4.3
2;7.5
2.1;8.2
2.2;9.6
2.3;10.7
2.4;11.9
2.5;13.1
2.6;14.3
2.7;15.4
2.8;16.8
2.9;17.9
3;19.1
3.1;20.5
3.2;21.9
3.3;23.4
3.4;24.7
3.5;26
3.6;27.7
3.7;29.3
3.8;30.9
3.9;33
4;35
4.1;37.1
4.2;39.5
4.3;42.1
4.4;45.1
4.5;48.6
4.6;53
4.7;58.4
4.8;65.9
4.9;78.6
4.9395;87.1
4.962;93.1
4.9855;103.5
4.9965;113.7
5.0065;127.3
5.0165;144.6
5.0265;155
5.039;164.5
5.0535;171.4
5.08;178.2
5.137;187
5.225;195.5
5.325;199.7
5.425;203.6

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;10.17
2.3;11.19
2.4;11.82
2.5;12.19
2.6;11.81
2.7;12
2.8;12.08
2.9;12.58
3;13.17
3.1;13.39
3.2;13.63
3.3;14.16
3.4;14.2
3.5;14.66
3.6;15.68
3.7;16.89
3.8;18.29
3.9;19.48
4;20.75
4.1;22.43
4.2;24.53
4.3;27.17
4.4;30.01
4.5;36.5
4.6;48.97
4.7;71.2
4.8;121.68
4.9;256.58
4.9395;415.47
4.962;579.69
4.9855;770.54
4.9965;792.31
5.0065;970.88
5.0165;932.17
5.0265;735.36
5.039;739.85
5.0535;572.87

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-48.6
1.143;-4.6
1.7145;3.4
2;6.9
2.1;8.7
2.2;10.1
2.3;11.1
2.4;12.6
2.5;13.8
2.6;14.9
2.7;16.2
2.8;17.5
2.9;18.7
3;19.9
3.1;21.3
3.2;22.4
3.3;23.9
3.4;25.3
3.5;26.7
3.6;28.5
3.7;30.1
3.8;31.7
3.9;33.5
4;35.4
4.1;37.6
4.2;39.9
4.3;42.5
4.4;45.8
4.5;49.2
4.6;53.3
4.7;58.8
4.8;66.1
4.9;78.1
4.944;87.6
4.965;92.6
4.995;109
5.005;117.5
5.015;132.8
5.025;147.4
5.035;156.5
5.049;165.2
5.068;172.6
5.1005;179.1
5.18;189.7
5.27;194.4
5.37;198.6
5.47;202.1

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;11.71
2.3;13.03
2.4;12.87
2.5;12.09
2.6;12.28
2.7;12.48
2.8;12.21
2.9;12.48
3;12.66
3.1;12.65
3.2;13.22
3.3;14.07
3.4;14.78
3.5;15.44
3.6;16.05
3.7;16.55
3.8;17.46
3.9;18.31
4;19.95
4.1;22.41
4.2;24.81
4.3;27.63
4.4;30.4
4.5;36
4.6;48.1
4.7;67.68
4.8;120.1
4.9;260.7
4.944;421.46
4.965;557.61
4.995;759.95
5.005;738.7
5.015;902.72
5.025;767.6
5.035;667.47
5.049;663.55
5.068;479.18

