V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-54
0.02;-44.5
0.04;-42.3
0.09;-37.1
0.176;-29.8
0.2885;-23.4
0.4885;-16.4
0.6885;-11.8
0.8885;-8.1
1.0885;-5.3
1.2885;-2.6
1.4885;0
1.6885;2.4
1.8885;4.5
2.0885;6.8
2.2885;9.1
2.4885;11.6
2.6885;13.6
2.8885;16
3.0885;18.5
3.2885;21
3.4885;23.9
3.6885;27.1
3.8885;30.9
4.0885;34.9
4.2885;39.8
4.4885;46.2
4.6885;55.5
4.836;67
4.897;73.2
4.9575;86.1
4.9775;93
4.9975;101.9
5.0175;126.8
5.0375;153.6
5.0575;165.2
5.0895;175.9
5.1305;183.5
5.209;189.5
5.405;200.8
5.589;206.5
5.789;210.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.2885;58.68
0.4885;32.92
0.6885;21.34
0.8885;15.8
1.0885;13.41
1.2885;12.23
1.4885;11.73
1.6885;11.55
1.8885;11.42
2.0885;11.22
2.2885;11.26
2.4885;11.37
2.6885;11.54
2.8885;11.75
3.0885;12.52
3.2885;13.62
3.4885;14.98
3.6885;16.22
3.8885;17.95
4.0885;22.17
4.2885;28.65
4.4885;44.81
4.6885;82.8
4.836;166.67
4.897;283.95
4.9575;467.28
4.9775;513.67
4.9975;521.14
5.0175;705.01
5.0375;502.85
5.0575;542.8
5.0895;440.42

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-51.6
0.02;-42
0.04;-39.7
0.09;-34
0.1625;-27.9
0.288;-21.5
0.488;-15.1
0.688;-11.3
0.888;-8.3
1.088;-5.7
1.288;-3.2
1.488;-0.9
1.688;1.4
1.888;3.6
2.088;5.8
2.288;7.9
2.488;10.2
2.688;12.4
2.888;14.8
3.088;17.3
3.288;20
3.488;22.9
3.688;26
3.888;29.5
4.088;33.8
4.288;38.8
4.488;45.5
4.688;55.2
4.825;66.1
4.885;73.9
4.923;81.2
4.952;89.8
4.972;97.6
4.992;114.1
5.012;146.1
5.032;162.7
5.052;171.5
5.087;178.6
5.17;189.8
5.2615;196.3
5.4615;204.9
5.6615;209.6
5.8615;213.1

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.288;55.56
0.488;29.32
0.688;18.31
0.888;13.55
1.088;11.71
1.288;11.22
1.488;11.26
1.688;11.09
1.888;10.93
2.088;10.85
2.288;10.93
2.488;11.15
2.688;11.6
2.888;12.17
3.088;12.8
3.288;13.65
3.488;14.76
3.688;16.04
3.888;18.05
4.088;22.27
4.288;30.46
4.488;47.34
4.688;86.21
4.825;158.69
4.885;280.58
4.923;425.61
4.952;537.13
4.972;547.96
4.992;740.84
5.012;607.15
5.032;531.13
5.052;509.14
5.087;369.71

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-50.3
0.02;-42.6
0.04;-39.7
0.088;-34.4
0.1795;-27.2
0.323;-20.6
0.523;-14.6
0.723;-11.2
0.923;-7.7
1.123;-5.4
1.323;-3.2
1.523;-0.5
1.723;1.6
1.923;3.9
2.123;5.9
2.323;8
2.523;10.4
2.723;12.5
2.923;14.8
3.123;17.4
3.323;20
3.523;22.9
3.723;26.2
3.923;29.7
4.123;34
4.323;39.3
4.523;46.2
4.723;56.6
4.8415;66.7
4.898;73.6
4.9445;83.7
4.965;92
4.985;101.5
5.005;125
5.025;152.6
5.045;165.3
5.072;173.2
5.131;183.7
5.205;189.2
5.39;199.5
5.5775;205.4
5.7775;209.3

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.323;49.16
0.523;27.13
0.723;17.44
0.923;13.11
1.123;11.73
1.323;11.27
1.523;11.15
1.723;10.9
1.923;10.97
2.123;10.69
2.323;10.67
2.523;11.05
2.723;11.4
2.923;12.08
3.123;12.75
3.323;13.66
3.523;14.93
3.723;16.23
3.923;18.5
4.123;23.29
4.323;31.7
4.523;50.82
4.723;97.33
4.8415;182.81
4.898;313.15
4.9445;481.28
4.965;528.89
4.985;572.59
5.005;709.53
5.025;510.37
5.045;541.61
5.072;445.84

