V [mL];E
0;367.2
0.02;367.1
0.04;367.3
0.09;367.2
0.215;367.1
0.415;366.5
0.615;366.1
0.815;365.7
1.015;365.3
1.215;364.8
1.415;364.3
1.615;363.9
1.815;363.5
2.015;362.9
2.215;362.4
2.415;362
2.615;361.6
2.815;360.8
3.015;360.4
3.215;359.8
3.415;359.1
3.615;358.5
3.815;357.9
4.015;357.3
4.215;356.6
4.415;355.9
4.615;355
4.815;354.1
5.015;353.2
5.215;352.6
5.415;351.8
5.615;350.7
5.815;349.6
6.015;348.4
6.215;347.3
6.415;345.5
6.615;344.2
6.815;342.8
7.015;340.6
7.215;338.6
7.415;336.8
7.615;333.2
7.815;328.3
8.015;324
8.215;315.3
8.3815;293.6
8.402;287.2
8.422;275.9
8.442;215.8
8.462;198.7
8.495;192.1
8.5775;185.2
8.7775;177.9
8.9775;173
9.1775;169
9.3775;165.3
9.5775;162.1

V [mL];dE/dV
0.415;-1.97
0.615;-2.18
0.815;-2.25
1.015;-2.19
1.215;-2.17
1.415;-2.33
1.615;-2.4
1.815;-2.29
2.015;-2.35
2.215;-2.45
2.415;-2.51
2.615;-2.61
2.815;-2.75
3.015;-2.97
3.215;-3.06
3.415;-3.05
3.615;-3.01
3.815;-3.17
4.015;-3.29
4.215;-3.68
4.415;-4.01
4.615;-4.08
4.815;-4.08
5.015;-4.09
5.215;-4.29
5.415;-4.42
5.615;-5.04
5.815;-5.81
6.015;-6.26
6.215;-6.67
6.415;-7.36
6.615;-7.67
6.815;-7.97
7.015;-9.49
7.215;-10.81
7.415;-9.97
7.615;-15.07
7.815;-26.71
8.015;-63.45
8.215;-197.73
8.3815;-498.93
8.402;-412.77
8.422;-344.02
8.442;-381.05
8.462;-308.51
8.495;-486.28
8.5775;-261.35

