volume	pH
0.000000	3.921907
0.020000	3.930358
0.040000	3.942191
0.090000	3.979378
0.215000	4.077417
0.382500	4.194050
0.582500	4.325896
0.782500	4.440838
0.982500	4.538878
1.182500	4.631846
1.382500	4.723124
1.582500	4.805950
1.782500	4.888776
1.982500	4.968222
2.182500	5.042596
2.382500	5.123732
2.582500	5.213320
2.782500	5.306288
2.982500	5.397566
3.182500	5.512508
3.382500	5.639283
3.582500	5.813387
3.703000	5.938472
3.811500	6.095673
3.879000	6.219067
3.937000	6.381339
3.969000	6.519946
3.989000	6.567275
4.039000	6.908722
4.059000	7.133536
4.079000	7.931373
4.099000	8.928668
4.119000	9.275186
4.141500	9.501690
4.164500	9.645368
4.199500	9.807640
4.238500	9.936105
4.296500	10.078093
4.371000	10.206558
4.481500	10.351927
4.617500	10.488844
