0,-172.8,-999,0,-173.4,-999,0,-176.7,-999,0,-172.8,-999,0,-177.2,-999,0,-171.6,-999,0,-174.6,-999,0,-175,-999,0,-184.4,-999,0,-185.1,-999,0,-184.6,-999,0,-183,-999,0,-184.8,-999,0,-183.9,-999,0,-181.1,-999,0,-171.8,-999,0,180.9,-999,0,179.9,-999,0,178.8,-999,0,179.1,-999,0,182.1,4.08166,0,183.2,4.311319,0,183.1,4.131269,0,182.7,4.139765,0,182.7,4.126113,0,182.6,4.119293,0,-115.3,5.318853,0,-114.9,5.330299,0,-115,5.414503,0,-114.8,5.40953,0,-115.4,5.5147,0,-115.7,5.567834,0,-111.5,5.359609,0,-109.7,5.166502,0,-110.6,5.650749,0,-109.2,5.216103,0,-111.6,5.546437,0,-110.4,5.194752,0,209.1,-999,17,34,-999,0,-29.3,0.509,0,56,-999,13,-307.2,14.006,17.47,-78.7,19.488
0.5715,-119.7,,0.5715,-121.3,,0.5715,-123,,0.5715,-119.6,,0.5715,-120,,0.5715,-120.4,,0.5715,-118,,0.5715,-122.5,,0.5715,-135.8,,0.5715,-136.4,,0.5715,-136.1,,0.5715,-135.9,,0.5715,-136,,0.5715,-135.1,,0.5715,-133.9,,0.5715,-130.7,,0.005,180.4,,0.005,179.7,,0.005,178.4,,0.005,178.9,,0.02,181.6,,0.02,182.6,,0.02,182.5,,0.02,182.2,,0.02,181.9,,0.02,182,,0.05,-109.9,,0.05,-109.4,,0.05,-109.7,,0.05,-109.8,,0.05,-110.8,,0.05,-110.9,,0.05,-107.4,,0.05,-105.2,,0.05,-107,,0.05,-104.3,,0.05,-106.7,,0.05,-106,,0.571,191,,17.2,30.7,,0.02,-27.7,,0.02,4.4,,13.2,-301.3,,17.97,-86.8,
0.857,-110.4,,0.857,-109.2,,0.857,-111.3,,0.857,-108.9,,0.857,-108.2,,0.857,-109.7,,0.857,-109.6,,0.857,-108.8,,0.857,-124.2,,0.857,-125.6,,0.857,-127.2,,0.857,-126.8,,0.857,-125.6,,0.857,-124.7,,0.857,-125.3,,0.857,-121.6,,0.01,180.3,,0.01,179.6,,0.01,178.3,,0.01,178.8,,0.04,180.9,Sample size,0.04,181.8,Sample size,0.04,181.6,Sample size,0.04,181.3,Sample size,0.04,181,Sample size,0.04,181.2,Sample size,0.1,-105.7,Sample size,0.1,-105,Sample size,0.1,-105.6,Sample size,0.1,-105.3,Sample size,0.1,-105.9,Sample size,0.1,-105.8,Sample size,0.1,-102.5,Sample size,0.1,-100,Sample size,0.1,-101.6,Sample size,0.1,-100,Sample size,0.1,-102,Sample size,0.1,-100.7,Sample size,0.857,183.8,Sample size,17.4,25.8,Sample size,0.04,-26.2,,0.04,-13,,13.4,-293.6,,18.325,-94.3,
1,-105.9,,1,-104.3,,1,-108,,1,-104.3,,1,-106.7,,1,-104.9,,1,-105.2,,1,-106.2,,1,-119.3,,1,-122.6,,1,-123.6,,1,-122.5,,1,-120.9,,1,-120.5,,1,-119.5,,1,-118.4,,0.0225,180,,0.0225,179.2,,0.0225,177.7,,0.0225,178.4,,0.09,178.7,0.0836,0.09,179.5,0.08818,0.09,179.4,0.08465,0.09,178.8,0.08477,0.09,178.9,0.08436,0.09,178.8,0.08426,0.2175,-95.8,0.06463,0.2175,-96.1,0.06493,0.225,-94.7,0.06604,0.1995,-96.5,0.06581,0.1785,-99.3,0.06725,0.1735,-99.6,0.06784,0.168,-96.8,0.06485,0.168,-94.4,0.06239,0.1515,-97.5,0.0685,0.207,-91.7,0.06323,0.1895,-94.7,0.06714,0.165,-95.4,0.06284,1,180.5,,17.555,22.5,,0.08,-23.7,,0.094,-34.3,,13.564,-284.7,,18.631,-102.5,
1.2,-99.8,,1.2,-99.6,,1.2,-101.8,,1.2,-98.7,,1.2,-99.5,,1.2,-98.7,,1.2,-97.2,,1.2,-99.9,,1.2,-114.6,,1.2,-117.1,,1.2,-118.3,,1.2,-117.5,,1.2,-116.3,,1.2,-114.9,,1.1945,-118.2,,1.2,-113.3,,0.0535,178.7,,0.0535,178.1,,0.0535,176.5,,0.0535,177.4,,0.215,172.9,,0.215,174.4,,0.215,173.8,,0.215,173.4,,0.215,173.2,,0.215,173.2,,0.314,-89.6,,0.3365,-87.5,,0.3115,-89,,0.2895,-91,,0.288,-91.4,,0.289,-91.3,,0.2765,-89.3,,0.289,-86.3,,0.2805,-88.1,,0.3205,-84.1,,0.3025,-87,,0.291,-86.5,,1.5,171.1,,17.755,15.1,,0.16,-24,,0.184,-51.8,,13.679,-276.1,,18.874,-111.4,
1.4,-95.4,,1.4,-94.2,,1.4,-96.6,,1.4,-93.5,,1.4,-95.1,,1.4,-93.5,,1.399,-91.7,,1.4,-95.2,,1.4,-109.8,,1.4,-114.1,,1.4,-114.2,,1.4,-112.5,,1.4,-112.3,,1.4,-109.7,,1.3945,-113.1,,1.4,-108.3,,0.131,175.7,,0.131,175.6,,0.131,173,,0.131,174.9,,0.3825,166,,0.415,166.3,,0.3835,166.6,,0.415,165.2,,0.383,166.2,,0.4015,165.4,,0.4775,-80.6,,0.4555,-80.9,,0.4685,-81.1,,0.48,-80.6,,0.418,-84.3,,0.422,-84.1,,0.418,-81.5,,0.436,-78.2,,0.4045,-81.8,,0.46,-76.8,,0.4425,-80,,0.4225,-80,,2,163.1,,17.85,11.5,,0.251,-8.6,,0.351,-69.1,,13.762,-267,,19.049,-120.2,
1.6,-90.8,,1.6,-88.7,,1.6,-92.1,,1.6,-88.4,,1.6,-91.6,,1.6,-89.6,,1.599,-87.2,,1.6,-90.6,,1.6,-106.9,,1.6,-109,,1.6,-110.1,,1.6,-109.6,,1.6,-108.3,,1.6,-107,,1.5945,-108.1,,1.6,-104.8,,0.231,171.6,,0.231,171.9,,0.231,169.1,,0.231,171.3,,0.5825,158.2,,0.615,158.5,,0.5835,159.2,,0.615,157.7,,0.583,158.6,,0.6015,157.8,,0.649,-73.6,,0.64,-74,,0.6835,-72.5,,0.6455,-74.1,,0.612,-75.2,,0.6155,-76.1,,0.601,-74,,0.6135,-71.1,,0.6285,-72.6,,0.6555,-69.5,,0.657,-71.8,,0.6485,-70.9,,2.5,156.1,,17.975,5.5,,0.315,0.4,,0.551,-81.6,,13.817,-258.5,,19.173,-128.5,
1.8,-86.1,,1.8,-82.9,,1.8,-87.5,,1.8,-83.8,,1.8,-86.2,,1.8,-84.5,,1.799,-83.2,,1.8,-86.1,,1.8,-102.8,,1.8,-106.3,,1.8,-107.3,,1.8,-105.6,,1.8,-105.4,,1.8,-104.4,,1.7945,-104.4,,1.8,-99.2,,0.331,167.7,,0.331,168.7,,0.331,165,,0.331,168.1,,0.7825,151.4,,0.815,152.2,,0.7835,152.6,,0.815,151.3,,0.783,152.1,,0.8015,151.6,,0.911,-65.9,,0.9555,-64.4,,0.9305,-65.4,,0.9275,-65,,0.8085,-69.4,,0.8715,-67.4,,0.8665,-65.7,,0.89,-62,,0.87,-65.2,,0.958,-60.8,,0.9355,-63.3,,0.898,-62.6,,3,149.5,,18.062,1.4,,0.358,9,,0.751,-90.6,,13.857,-250,,19.268,-137,
2,-82.3,,2,-79.4,,2,-82.6,,2,-79.9,,2,-80.3,,2,-80,,1.999,-77.4,,2,-81.9,,2,-98.9,,2,-102.5,,2,-103.7,,2,-102.3,,2,-101.4,,2,-100.2,,1.9945,-101.7,,2,-98.8,,0.431,163.8,,0.431,165.2,,0.431,161.2,,0.431,165.1,,0.9825,145.6,,1.015,146.3,,0.9835,146.2,,1.015,145.3,,0.983,146.4,,1.0015,145,,1.291,-56.7,,1.282,-56.6,,1.318,-55.7,,1.229,-58.8,,1.246,-58,,1.156,-60.7,,1.1945,-57,,1.185,-54.9,,1.218,-56.8,,1.3165,-51.7,,1.26,-55.6,,1.1825,-55.4,,3.5,143.3,,18.167,-4.8,,0.389,18,,0.951,-97.9,,13.886,-241.3,,19.339,-145.5,
2.2,-77.5,,2.2,-74.1,,2.2,-78.4,,2.2,-74.6,,2.2,-77.6,,2.2,-76,,2.199,-72.8,,2.2,-77.8,,2.2,-96.1,,2.2,-99.7,,2.2,-101,,2.2,-99.1,,2.2,-98.3,,2.2,-96.2,,2.1945,-98,,2.2,-95.5,,0.531,160.4,,0.531,162.2,,0.531,157.4,,0.531,161.6,,1.1825,140.1,,1.215,140.9,,1.1835,140.6,,1.215,139.9,,1.183,140.5,,1.2015,139.8,,1.69,-48.4,,1.7025,-47.7,,1.6825,-48.7,,1.729,-47.8,,1.5875,-51.5,,1.635,-51,,1.5585,-49.7,,1.6355,-45.5,,1.643,-48.2,,1.6725,-45.2,,1.6985,-47.8,,1.607,-47.3,,4,137.1,,18.238,-9.2,,0.409,25.3,,1.151,-104.1,,13.906,-234.3,,19.392,-153.2,
