Schwartz Raw: V_eq = 4.900 mL, R² = 0.9987, k = 0.000, Zone = 5-34
Schwartz Opt: V_eq = 4.879 mL, R² = 0.9995, k = 0.113, Zone = 2-32
Schwartz Raw: V_eq = 4.566 mL, R² = 0.9976, k = 0.000, Zone = 2-32
Schwartz Opt: V_eq = 4.539 mL, R² = 0.9986, k = 0.067, Zone = 1-31
Schwartz Raw: V_eq = 4.886 mL, R² = 0.9988, k = 0.000, Zone = 3-33
Schwartz Opt: V_eq = 4.868 mL, R² = 0.9994, k = 0.088, Zone = 3-33
Schwartz Raw: V_eq = 4.490 mL, R² = 0.9983, k = 0.000, Zone = 3-33
Schwartz Opt: V_eq = 4.461 mL, R² = 0.9998, k = 0.119, Zone = 1-31
Schwartz Raw: V_eq = 4.771 mL, R² = 0.9977, k = 0.000, Zone = 5-34
Schwartz Opt: V_eq = 4.768 mL, R² = 0.9976, k = 0.077, Zone = 4-34
Schwartz Raw: V_eq = 4.678 mL, R² = 0.9981, k = 0.000, Zone = 2-32
Schwartz Opt: V_eq = 4.648 mL, R² = 0.9995, k = 0.098, Zone = 1-31
Schwartz Raw: V_eq = 4.372 mL, R² = 0.9974, k = 0.000, Zone = 3-33
Schwartz Opt: V_eq = 4.360 mL, R² = 0.9982, k = 0.015, Zone = 2-32
Schwartz Raw: V_eq = 4.772 mL, R² = 0.9980, k = 0.000, Zone = 5-34
Schwartz Opt: V_eq = 4.749 mL, R² = 0.9992, k = 0.145, Zone = 3-33
Schwartz Raw: V_eq = 7.519 mL, R² = 0.9995, k = 0.000, Zone = 14-44
Schwartz Opt: V_eq = 7.507 mL, R² = 0.9997, k = 0.169, Zone = 13-43
Schwartz Raw: V_eq = 8.174 mL, R² = 0.9994, k = 0.000, Zone = 16-45
Schwartz Opt: V_eq = 8.162 mL, R² = 0.9996, k = 0.205, Zone = 14-44
Schwartz Raw: V_eq = 8.436 mL, R² = 0.9999, k = 0.000, Zone = 19-48
Schwartz Opt: V_eq = 8.437 mL, R² = 0.9999, k = 0.059, Zone = 19-49
Schwartz Raw: V_eq = 8.211 mL, R² = 0.9998, k = 0.000, Zone = 18-48
Schwartz Opt: V_eq = 8.194 mL, R² = 0.9999, k = 0.216, Zone = 14-44
Schwartz Raw: V_eq = 7.899 mL, R² = 0.9996, k = 0.000, Zone = 17-46
Schwartz Opt: V_eq = 7.877 mL, R² = 0.9997, k = 0.213, Zone = 10-40
Schwartz Raw: V_eq = 7.577 mL, R² = 0.9996, k = 0.000, Zone = 16-46
Schwartz Opt: V_eq = 7.564 mL, R² = 0.9998, k = 0.189, Zone = 14-44
Schwartz Raw: V_eq = 8.078 mL, R² = 0.9986, k = 0.000, Zone = 14-44
Schwartz Opt: V_eq = 8.062 mL, R² = 0.9988, k = 0.169, Zone = 14-44
Schwartz Raw: V_eq = 7.545 mL, R² = 0.9988, k = 0.000, Zone = 16-46
Schwartz Opt: V_eq = 7.538 mL, R² = 0.9988, k = 0.153, Zone = 15-45
Schwartz Raw: V_eq = 4.537 mL, R² = 0.9995, k = 0.000, Zone = 38-68
Schwartz Opt: V_eq = 4.532 mL, R² = 1.0000, k = 0.950, Zone = 33-63
Schwartz Raw: V_eq = 5.343 mL, R² = 0.9996, k = 0.000, Zone = 45-75
Schwartz Opt: V_eq = 5.337 mL, R² = 1.0000, k = 1.566, Zone = 43-73
Schwartz Raw: V_eq = 4.360 mL, R² = 0.9994, k = 0.000, Zone = 36-64
Schwartz Opt: V_eq = 4.354 mL, R² = 0.9999, k = 1.220, Zone = 34-64
Schwartz Raw: V_eq = 5.492 mL, R² = 0.9996, k = 0.000, Zone = 46-76
Schwartz Opt: V_eq = 5.485 mL, R² = 1.0000, k = 1.440, Zone = 42-72
Schwartz Raw: V_eq = 4.096 mL, R² = 0.9995, k = 0.000, Zone = 15-31
Schwartz Opt: V_eq = 4.087 mL, R² = 0.9999, k = 0.360, Zone = 12-30
Schwartz Raw: V_eq = 4.322 mL, R² = 0.9997, k = 0.000, Zone = 16-32
Schwartz Opt: V_eq = 4.311 mL, R² = 0.9999, k = 0.417, Zone = 13-31
Schwartz Raw: V_eq = 4.141 mL, R² = 0.9998, k = 0.000, Zone = 16-32
Schwartz Opt: V_eq = 4.138 mL, R² = 0.9999, k = 0.204, Zone = 15-32
Schwartz Raw: V_eq = 4.158 mL, R² = 0.9994, k = 0.000, Zone = 16-32
Schwartz Opt: V_eq = 4.157 mL, R² = 0.9998, k = 0.272, Zone = 10-27
Schwartz Raw: V_eq = 4.132 mL, R² = 0.9996, k = 0.000, Zone = 16-32
Schwartz Opt: V_eq = 4.123 mL, R² = 0.9999, k = 0.429, Zone = 13-31
Schwartz Raw: V_eq = 4.135 mL, R² = 0.9994, k = 0.000, Zone = 16-32
Schwartz Opt: V_eq = 4.124 mL, R² = 0.9998, k = 0.562, Zone = 13-32
Schwartz Raw: V_eq = 5.294 mL, R² = 0.9976, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.285 mL, R² = 0.9992, k = 0.832, Zone = 9-26
Schwartz Raw: V_eq = 5.300 mL, R² = 0.9980, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.304 mL, R² = 0.9993, k = 0.802, Zone = 9-26
Schwartz Raw: V_eq = 5.383 mL, R² = 0.9982, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.380 mL, R² = 0.9992, k = 0.762, Zone = 8-25
Schwartz Raw: V_eq = 5.377 mL, R² = 0.9984, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.378 mL, R² = 0.9995, k = 0.841, Zone = 9-26
Schwartz Raw: V_eq = 5.483 mL, R² = 0.9980, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.467 mL, R² = 0.9992, k = 1.007, Zone = 9-26
Schwartz Raw: V_eq = 5.543 mL, R² = 0.9970, k = 0.000, Zone = 13-26
