=== RAW DATA ===
volume,potential
0.0,-111.6
0.05,-106.7
0.1,-102.0
0.1895,-94.7
0.3025,-87.0
0.4425,-80.0
0.657,-71.8
0.9355,-63.3
1.26,-55.6
1.6985,-47.8
2.1985,-39.2
2.6835,-31.0
3.1745,-23.5
3.6745,-14.8
4.0995,-5.7
4.4015,1.5
4.702,11.1
4.887,18.7
5.04,27.3
5.1445,34.6
5.235,43.5
5.2935,51.0
5.3435,59.4
5.3935,70.1
5.4435,83.4
5.4935,99.8
5.5435,130.7
5.5935,178.9
5.6435,199.1
5.6935,208.4
5.788,219.7
5.891,227.1
6.077,236.0
6.3265,243.9
6.715,252.1


=== METRICS ===
Method,V_eq (mL),R²,k5,Zones (start-end)
Gran Raw,,0.0,0.0,24-25
Gran Optimized,,0.0,5.46050093853136,24-25
Schwartz Raw,,0.0,0.0,24-25
Schwartz Optimized,,0.0,5.46050093853136,24-25
