V [mL];E
0;-177.6
2;-82
2.02;-83.2
2.04;-82.8
2.06;-82.3
2.08;-81.8
2.1;-81.5
2.12;-81
2.14;-80.7
2.16;-80.2
2.18;-79.7
2.2;-79.3
2.22;-79
2.24;-78.5
2.26;-78.1
2.28;-77.8
2.3;-77.5
2.32;-76.9
2.34;-76.6
2.36;-76.1
2.38;-75.7
2.4;-75.5
2.42;-74.9
2.44;-74.7
2.46;-74.3
2.48;-73.8
2.5;-73.5
2.52;-72.9
2.54;-72.5
2.56;-72.2
2.58;-71.8
2.6;-71.2
2.62;-70.9
2.64;-70.6
2.66;-70.2
2.68;-69.8
2.7;-69.3
2.72;-69
2.74;-68.5
2.76;-68.3
2.78;-67.6
2.8;-67.4
2.82;-66.9
2.84;-66.5
2.86;-66
2.88;-65.6
2.9;-65.3
2.92;-65
2.94;-64.3
2.96;-63.9
2.98;-63.6
3;-63.3
3.02;-62.4
3.04;-63.1
3.06;-61.9
3.08;-61.3
3.1;-61.1
3.12;-60.5
3.14;-60.4
3.16;-59.9
3.18;-59.2
3.2;-58.8
3.22;-58.4
3.24;-57.9
3.26;-57.7
3.28;-57.1
3.3;-56.7
3.32;-56.2
3.34;-55.8
3.36;-55.2
3.38;-54.9
3.4;-54.4
3.42;-54
3.44;-53.5
3.46;-53
3.48;-52.4
3.5;-51.8
3.52;-51.6
3.54;-51.2
3.56;-50.5
3.58;-50
3.6;-49.6
3.62;-49.2
3.64;-48.6
3.66;-48
3.68;-47.5
3.7;-47
3.72;-46.6
3.74;-45.9
3.76;-45.3
3.78;-44.7
3.8;-44.3
3.82;-43.7
3.84;-43.1
3.86;-42.6
3.88;-42
3.9;-41.4
3.92;-40.8
3.94;-40.2
3.96;-39.6
3.98;-38.9
4;-38.3
4.02;-37.6
4.04;-37
4.06;-36.3
4.08;-35.7
4.1;-35.1
4.12;-34.4
4.14;-33.6
4.16;-32.9
4.18;-32.1
4.2;-31.5
4.22;-30.6
4.24;-29.8
4.26;-29.1
4.28;-28.2
4.3;-27.4
4.32;-26.5
4.34;-25.5
4.36;-24.8
4.38;-23.8
4.4;-22.8
4.42;-21.8
4.44;-20.8
4.46;-19.8
4.48;-18.6
4.5;-17.5
4.52;-16.5
4.54;-15.1
4.56;-13.9
4.58;-12.7
4.6;-11.3
4.62;-9.9
4.64;-8.1
4.66;-6.8
4.68;-5
4.7;-3.6
4.72;-1.4
4.74;0.8
4.76;2.8
4.78;5.2
4.8;7.4
4.82;10.1
4.84;13.3
4.86;17
4.88;20.9
4.9;25.7
4.92;31
4.94;37.3
4.96;46.2
4.98;59.3
5;78.2
5.02;116.3
5.04;141.7
5.06;155.2
5.08;164.6
5.1;171.1
5.12;176.5
5.14;180.9
5.16;184.5
5.18;187.7
5.2;190.6

V [mL];dE/dV
2.08;15.04
2.1;25.68
2.12;21.31
2.14;20.91
2.16;21.28
2.18;21.86
2.2;21.23
2.22;19.71
2.24;18.76
2.26;18.65
2.28;19.43
2.3;20.67
2.32;19.91
2.34;21.04
2.36;20.64
2.38;18.88
2.4;18.22
2.42;18.22
2.44;18.59
2.46;20.64
2.48;21.55
2.5;20.62
2.52;21.95
2.54;21.51
2.56;20.94
2.58;20.34
2.6;18.9
2.62;19.72
2.64;19.25
2.66;19.54
2.68;18.85
2.7;20.84
2.72;20.54
2.74;20.2
2.76;19.99
2.78;20.51
2.8;21.78
2.82;21.84
2.84;20.45
2.86;19.41
2.88;21.11
2.9;20.94
2.92;19.61
2.94;23.72
2.96;20.49
2.98;18
3;18.09
3.02;18.34
3.04;22.47
3.06;23.48
3.08;22.22
3.1;22.19
3.12;23.43
3.14;18.77
3.16;23.18
3.18;23.84
3.2;22.91
3.22;22.42
3.24;20.4
3.26;20.05
3.28;22.36
3.3;22.99
3.32;23.51
3.34;23.36
3.36;21.92
3.38;21.92
3.4;21.93
3.42;24.36
3.44;25.54
3.46;25.25
3.48;24.06
3.5;24.03
3.52;23.66
3.54;23
3.56;22.94
3.58;24.43
3.6;25.84
3.62;25.57
3.64;24.9
3.66;25.97
3.68;26.53
3.7;27.3
3.72;27.21
3.74;27.76
3.76;28.57
3.78;28.25
3.8;27.49
3.82;26.71
3.84;27.69
3.86;28.72
3.88;29.29
3.9;29.48
3.92;30.23
3.94;31.28
3.96;31.51
3.98;32.28
4;32.8
4.02;32.51
4.04;31.69
4.06;31.71
4.08;32.43
4.1;34
4.12;35
4.14;35.97
4.16;37.6
4.18;37.73
4.2;37.98
4.22;38.51
4.24;39.39
4.26;41.31
4.28;42.31
4.3;42.38
4.32;43.81
4.34;45
4.36;45.93
4.38;47.01
4.4;48.46
4.42;51.03
4.44;52.22
4.46;52.97
4.48;55.31
4.5;57.13
4.52;59
4.54;59.91
4.56;63.68
4.58;67.21
4.6;71.61
4.62;72.85
4.64;76.08
4.66;80.73
4.68;85.33
4.7;92.43
4.72;98.75
4.74;105.04
4.76;109.34
4.78;117.97
4.8;127.39
4.82;144.83
4.84;165.89
4.86;185.21
4.88;205.19
4.9;232.4
4.92;251.4
4.94;413.34
4.96;704.23
4.98;1001.01
5;1197.45
5.02;1220.96
5.04;1065.26
5.06;785.73
5.08;478.93
5.1;257.29

