V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-177.6
2;-82.6
2.05;-81.8
2.1;-80.8
2.15;-79.8
2.2;-78.9
2.25;-77.7
2.3;-77.1
2.35;-75.8
2.4;-74.8
2.45;-73.7
2.5;-72.8
2.55;-71.8
2.6;-70.8
2.65;-69.7
2.7;-68.7
2.75;-67.9
2.8;-66.7
2.85;-65.7
2.9;-64.6
2.95;-63.6
3;-62.6
3.05;-61.8
3.1;-60.4
3.15;-59.4
3.2;-58.3
3.25;-57.3
3.3;-56.1
3.35;-54.9
3.4;-53.7
3.45;-52.5
3.5;-51.4
3.55;-50.1
3.6;-48.9
3.65;-47.8
3.7;-46.6
3.75;-45.3
3.8;-43.6
3.85;-42.2
3.9;-40.8
3.95;-39.3
4;-37.9
4.05;-36.1
4.1;-34.6
4.15;-32.5
4.2;-30.5
4.25;-29.2
4.3;-26.9
4.35;-24.5
4.4;-22.4
4.45;-19.8
4.5;-17.1
4.55;-14
4.6;-10.9
4.65;-6.9
4.7;-3.1
4.75;1.5
4.8;7.2
4.85;15.2
4.9;25.4
4.95;40.8
5;77
5.05;149.9
5.1;171.5
5.15;183.4
5.2;191.4
5.25;197.6
5.3;202.3
5.35;206.3
5.4;209.9
5.45;213
5.5;215.7

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;19.36
2.25;20.12
2.3;20.29
2.35;20.55
2.4;20.49
2.45;20.39
2.5;20.78
2.55;19.63
2.6;19.89
2.65;19.89
2.7;20.28
2.75;20.41
2.8;20.86
2.85;20.33
2.9;20.51
2.95;20.53
3;20.54
3.05;21
3.1;21.3
3.15;21.88
3.2;22.31
3.25;22.74
3.3;22.65
3.35;23.62
3.4;24.04
3.45;24.12
3.5;23.68
3.55;23.13
3.6;23.64
3.65;24.88
3.7;26.28
3.75;27.74
3.8;28.71
3.85;29.62
3.9;29.36
3.95;29.71
4;32.04
4.05;33.76
4.1;34.72
4.15;36.39
4.2;37.79
4.25;39.36
4.3;41.71
4.35;44.75
4.4;48.52
4.45;53.22
4.5;56.92
4.55;62.18
4.6;67.08
4.65;73.75
4.7;83.29
4.75;82.98
4.8;79.41
4.85;229.79
4.9;450.19
4.95;643.22
5;740.44
5.05;711.37
5.1;565.48
5.15;349.07
5.2;144.18
5.25;47.07

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-178
2;-78.5
2.05;-82.3
2.1;-81.4
2.15;-80.5
2.2;-79.3
2.25;-78.5
2.3;-77.3
2.35;-76.3
2.4;-75.3
2.45;-74.3
2.5;-73.3
2.55;-72.3
2.6;-71.2
2.65;-70.3
2.7;-69.2
2.75;-68.3
2.8;-67.2
2.85;-66.2
2.9;-65.1
2.95;-64.2
3;-63.1
3.05;-62.1
3.1;-61
3.15;-59.8
3.2;-58.9
3.25;-57.8
3.3;-56.5
3.35;-55.4
3.4;-54.3
3.45;-53.1
3.5;-52
3.55;-50.8
3.6;-49.4
3.65;-48.3
3.7;-46.9
3.75;-45.5
3.8;-44.2
3.85;-42.7
3.9;-41.3
3.95;-39.8
4;-38.2
4.05;-36.6
4.1;-34.9
4.15;-33.3
4.2;-31.4
4.25;-29.6
4.3;-27.4
4.35;-25.4
4.4;-22.8
4.45;-20.1
4.5;-17.5
4.55;-14.9
4.6;-11.1
4.65;-7.8
4.7;-3.6
4.75;0.3
4.8;7.5
4.85;14.7
4.9;24.7
4.95;42.9
5;75.5
5.05;149.9
5.1;171.1
5.15;183
5.2;191.1
5.25;197.4
5.3;202.3
5.35;205.8
5.4;209.7
5.45;212.6
5.5;215.6

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;11.81
2.25;26.19
2.3;20.76
2.35;20.39
2.4;20.29
2.45;20.32
2.5;20.08
2.55;20.21
2.6;20.19
2.65;20.09
2.7;20.32
2.75;20.28
2.8;20.4
2.85;20.51
2.9;20.25
2.95;20.83
3;20.9
3.05;20.95
3.1;21.32
3.15;21.92
3.2;22.06
3.25;22.55
3.3;22.71
3.35;22.74
3.4;23.35
3.45;23.17
3.5;23.52
3.55;24.64
3.6;25.28
3.65;26.08
3.7;26.84
3.75;27.27
3.8;27.97
3.85;28.92
3.9;29.68
3.95;30.58
4;31.7
4.05;32.34
4.1;33.88
4.15;34.91
4.2;36.69
4.25;39.77
4.3;43.5
4.35;45.86
4.4;49.29
4.45;52.8
4.5;57.56
4.55;59.76
4.6;65.36
4.65;74.39
4.7;81.61
4.75;88.35
4.8;83.49
4.85;234.28
4.9;451.67
4.95;642.51
5;736.97
5.05;709.27
5.1;563.41
5.15;348.34
5.2;148.56
5.25;45.54

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-178.5
2;-86.8
2.05;-83.1
2.1;-82
2.15;-80.8
2.2;-79.7
2.25;-78.8
2.3;-77.8
2.35;-76.8
2.4;-75.7
2.45;-74.8
2.5;-73.9
2.55;-72.7
2.6;-71.5
2.65;-70.5
2.7;-69.3
2.75;-68.9
2.8;-67.7
2.85;-66.7
2.9;-65.8
2.95;-64.6
3;-63.6
3.05;-62.6
3.1;-61.3
3.15;-60.5
3.2;-59.3
3.25;-58.1
3.3;-57
3.35;-56
3.4;-54.8
3.45;-53.6
3.5;-52.3
3.55;-51.1
3.6;-49.9
3.65;-48.8
3.7;-47.4
3.75;-46.1
3.8;-44.7
3.85;-43.2
3.9;-41.7
3.95;-40.3
4;-38.7
4.05;-37.2
4.1;-35.4
4.15;-33.7
4.2;-32
4.25;-29.8
4.3;-27.7
4.35;-25.8
4.4;-23.5
4.45;-21
4.5;-18.5
4.55;-15.1
4.6;-12
4.65;-8.2
4.7;-4.7
4.75;1.1
4.8;7
4.85;14.4
4.9;24.2
4.95;41.3
5;78.8
5.05;150.2
5.1;171.7
5.15;183.2
5.2;191.8
5.25;197.5
5.3;202.4
5.35;206.6
5.4;209.9
5.45;213.2
5.5;216

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;25.34
2.25;17.47
2.3;19.65
2.35;19.23
2.4;19.89
2.45;20.46
2.5;21.81
2.55;21.64
2.6;21.08
2.65;20.48
2.7;19.03
2.75;18.29
2.8;18.82
2.85;19.5
2.9;20.93
2.95;21.71
3;20.91
3.05;21.44
3.1;21.83
3.15;21.74
3.2;22.03
3.25;21.98
3.3;22.35
3.35;23.24
3.4;23.51
3.45;23.88
3.5;24.31
3.55;24.41
3.6;24.34
3.65;24.96
3.7;26.2
3.75;27.48
3.8;28.63
3.85;29.11
3.9;29.56
3.95;30.61
4;31.02
4.05;32.23
4.1;34.53
4.15;36.46
4.2;37.96
4.25;39.94
4.3;41
4.35;43.9
4.4;47
4.45;51.96
4.5;55.89
4.55;61.63
4.6;68.56
4.65;77.6
4.7;84.96
4.75;83.45
4.8;85.13
4.85;237.74
4.9;457.81
4.95;647.54
5;744.52
5.05;711.92
5.1;561.14
5.15;343.38
5.2;142.4
5.25;48.92

