V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-177.5
0.05;-169.3
0.1;-161.4
0.15;-154.6
0.2;-149.6
0.25;-144
0.3;-140
0.35;-136.3
0.4;-132.8
0.45;-129.9
0.5;-127.2
0.55;-124.3
0.6;-122.2
0.65;-119.8
0.7;-117.8
0.75;-115.6
0.8;-113.8
0.85;-112.1
0.9;-110.8
0.95;-108.7
1;-107.2
1.05;-105.6
1.1;-104.5
1.15;-102.6
1.2;-101.5
1.25;-100
1.3;-98.8
1.35;-97.5
1.4;-96.4
1.45;-95.1
1.5;-94
1.55;-92.6
1.6;-91.5
1.65;-90.4
1.7;-89.2
1.75;-87.9
1.8;-88.2
1.85;-86.1
1.9;-84.9
1.95;-83.8
2;-82.7
2.05;-81.7
2.1;-80.3
2.15;-80.2
2.2;-78.9
2.25;-78.9
2.3;-77.1
2.35;-75.7
2.4;-74.7
2.45;-73.7
2.5;-72.7
2.55;-71.6
2.6;-70.7
2.65;-69.6
2.7;-68.7
2.75;-67.5
2.8;-66.6
2.85;-65.6
2.9;-64.6
2.95;-63.8
3;-62.5
3.05;-61.5
3.1;-60.3
3.15;-59.3
3.2;-58.2
3.25;-57.3
3.3;-56
3.35;-54.8
3.4;-53.6
3.45;-52.4
3.5;-51.3
3.55;-50
3.6;-49
3.65;-46.7
3.7;-46.4
3.75;-45
3.8;-43.7
3.85;-42.2
3.9;-40.8
3.95;-39.2
4;-37.6
4.05;-36
4.1;-34.4
4.15;-32.6
4.2;-30.8
4.25;-28.7
4.3;-26.9
4.35;-24.6
4.4;-22.4
4.45;-19.7
4.5;-17
4.55;-14
4.6;-10.7
4.65;-7.2
4.7;-3.1
4.75;2
4.8;7.6
4.85;15.7
4.9;24.9
4.95;40.6
5;78.4
5.05;151.1
5.1;172.1
5.15;183.3
5.2;191.4
5.25;197.5
5.3;202.3
5.35;206.4
5.4;210
5.45;212.7
5.5;215.7

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.25;92.29
0.3;79.35
0.35;71.05
0.4;63.83
0.45;57.26
0.5;53.51
0.55;49.6
0.6;46.6
0.65;44.45
0.7;40.48
0.75;37.72
0.8;35.98
0.85;34.43
0.9;32.62
0.95;31.91
1;31.38
1.05;30.58
1.1;29.26
1.15;27.76
1.2;27.35
1.25;26.42
1.3;25.18
1.35;24.11
1.4;24.64
1.45;24.05
1.5;23.99
1.55;25.55
1.6;22.87
1.65;20.69
1.7;19.98
1.75;20.07
1.8;21.46
1.85;22.12
1.9;24.48
1.95;24.25
2;23.73
2.05;17.48
2.1;16.07
2.15;16.02
2.2;17.52
2.25;19.92
2.3;22.23
2.35;24.37
2.4;23
2.45;22.27
2.5;19.15
2.55;19.84
2.6;20.41
2.65;20.4
2.7;20.54
2.75;19.86
2.8;19.78
2.85;19.48
2.9;20.07
2.95;20.58
3;21.78
3.05;21.68
3.1;21.6
3.15;21.52
3.2;21.43
3.25;22.51
3.3;23
3.35;24.05
3.4;22.86
3.45;24.85
3.5;25.12
3.55;25.52
3.6;25.29
3.65;25.2
3.7;25.04
3.75;25.21
3.8;26.37
3.85;28.06
3.9;31.24
3.95;31
4;31.76
4.05;33.08
4.1;34.26
4.15;35.75
4.2;37.34
4.25;39.53
4.3;42.02
4.35;44.91
4.4;48.72
4.45;52.68
4.5;56.78
4.55;61.73
4.6;67.13
4.65;76.16
4.7;85.3
4.75;81.81
4.8;78.61
4.85;231.53
4.9;453.24
4.95;646.5
5;743.2
5.05;711.46
5.1;562.5
5.15;342.59
5.2;139.37
5.25;46.34

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-178.1
0.05;-169.8
0.1;-161.7
0.15;-155.2
0.2;-148.5
0.25;-145.9
0.3;-139.9
0.35;-136.4
0.4;-133
0.45;-130.4
0.5;-127.2
0.55;-124.9
0.6;-122.6
0.65;-120.4
0.7;-118.1
0.75;-116
0.8;-114.4
0.85;-112.3
0.9;-110.7
0.95;-109.5
1;-107.6
1.05;-106.1
1.1;-104.4
1.15;-103.3
1.2;-101.8
1.25;-100.5
1.3;-99.4
1.35;-98
1.4;-96.8
1.45;-95.7
1.5;-94.4
1.55;-93
1.6;-92.1
1.65;-90.9
1.7;-89.8
1.75;-89.1
1.8;-87.5
1.85;-86.5
1.9;-85.4
1.95;-84.5
2;-83.2
2.05;-82.4
2.1;-81.3
2.15;-80.3
2.2;-79.3
2.25;-78.4
2.3;-77.1
2.35;-76.4
2.4;-75.4
2.45;-74.2
2.5;-73.3
2.55;-72.1
2.6;-71.2
2.65;-70.3
2.7;-69.2
2.75;-68.2
2.8;-67.1
2.85;-66.4
2.9;-65
2.95;-64.1
3;-63
3.05;-62
3.1;-60.7
3.15;-59.8
3.2;-58.8
3.25;-57.6
3.3;-56.6
3.35;-55.3
3.4;-54.2
3.45;-53
3.5;-51.8
3.55;-50.6
3.6;-49.5
3.65;-48.2
3.7;-47.2
3.75;-45.4
3.8;-44.1
3.85;-42.6
3.9;-41.4
3.95;-39.9
4;-38.3
4.05;-36.6
4.1;-35.1
4.15;-33.1
4.2;-31.6
4.25;-29.4
4.3;-27.3
4.35;-25.1
4.4;-22.8
4.45;-20.2
4.5;-17.6
4.55;-14.7
4.6;-11.4
4.65;-7.6
4.7;-3.4
4.75;1.2
4.8;6.9
4.85;14.7
4.9;25
4.95;39.7
5;73.9
5.05;149.6
5.1;170.8
5.15;183
5.2;190.7
5.25;197.2
5.3;201.8
5.35;205.7
5.4;209.4
5.45;212.4
5.5;215

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.25;91.62
0.3;79.55
0.35;71.28
0.4;64.14
0.45;58.59
0.5;49.77
0.55;49.21
0.6;45.88
0.65;43.71
0.7;41.61
0.75;39.42
0.8;36.47
0.85;33.78
0.9;32.69
0.95;31.86
1;31.15
1.05;30.19
1.1;29.4
1.15;27.82
1.2;25.98
1.25;25.32
1.3;24.51
1.35;25.09
1.4;24.54
1.45;24.6
1.5;24.64
1.55;22.79
1.6;22.26
1.65;21.75
1.7;21.72
1.75;21.75
1.8;22.63
1.85;22.17
1.9;21.9
1.95;21.17
2;20.14
2.05;20.13
2.1;20.35
2.15;20.32
2.2;19.7
2.25;20.17
2.3;19.66
2.35;20.16
2.4;20.57
2.45;20.49
2.5;20.37
2.55;20.56
2.6;20.31
2.65;19.52
2.7;19.92
2.75;19.98
2.8;20.69
2.85;20.48
2.9;20.94
2.95;21.6
3;21.58
3.05;21.68
3.1;20.83
3.15;21.47
3.2;21.5
3.25;21.98
3.3;22.57
3.35;23.67
3.4;23.6
3.45;23.84
3.5;23.14
3.55;23.23
3.6;24.19
3.65;25.68
3.7;26.92
3.75;27.74
3.8;28.18
3.85;28.71
3.9;28.85
3.95;29.76
4;31.37
4.05;32.72
4.1;34.53
4.15;36.06
4.2;38.01
4.25;40.61
4.3;43.27
4.35;45.48
4.4;48.32
4.45;51.2
4.5;56.41
4.55;62.03
4.6;67.68
4.65;75.06
4.7;85.49
4.75;86.15
4.8;74.72
4.85;223.01
4.9;443.22
4.95;640.03
5;740.64
5.05;715.23
5.1;571.51
5.15;354.93
5.2;146.34
5.25;44.18

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-179.3
0.05;-171.2
0.1;-162.2
0.15;-155.5
0.2;-150
0.25;-144.9
0.3;-141.1
0.35;-137.2
0.4;-133.8
0.45;-131.1
0.5;-128.1
0.55;-125.7
0.6;-123.6
0.65;-121.1
0.7;-118.9
0.75;-116.9
0.8;-115
0.85;-113.2
0.9;-111.4
0.95;-109.9
1;-108.9
1.05;-106.9
1.1;-105.3
1.15;-104
1.2;-102.6
1.25;-101.2
1.3;-99.9
1.35;-98.7
1.4;-97.5
1.45;-96.4
1.5;-95.1
1.55;-93.7
1.6;-92.8
1.65;-91.6
1.7;-90.4
1.75;-89.4
1.8;-88.3
1.85;-87.1
1.9;-86.1
1.95;-84.9
2;-84.1
2.05;-83.1
2.1;-82
2.15;-80.9
2.2;-79.9
2.25;-79
2.3;-77.9
2.35;-76.9
2.4;-75.9
2.45;-74.8
2.5;-73.9
2.55;-72.9
2.6;-71.9
2.65;-70.9
2.7;-69.8
2.75;-68.9
2.8;-67.9
2.85;-66.9
2.9;-65.7
2.95;-64.5
3;-64.3
3.05;-63
3.1;-61.7
3.15;-60.6
3.2;-59.5
3.25;-58.4
3.3;-57.2
3.35;-56.2
3.4;-55
3.45;-53.8
3.5;-52.6
3.55;-51.4
3.6;-50.2
3.65;-48.8
3.7;-47.6
3.75;-46.2
3.8;-44.9
3.85;-43.5
3.9;-41.9
3.95;-40.5
4;-38.9
4.05;-37.4
4.1;-35.6
4.15;-33.8
4.2;-32
4.25;-30.1
4.3;-27.9
4.35;-25.9
4.4;-23.4
4.45;-21
4.5;-18.3
4.55;-15.4
4.6;-12.3
4.65;-8.5
4.7;-4.2
4.75;0.6
4.8;6.6
4.85;13.5
4.9;23.3
4.95;38.3
5;78.5
5.05;150.1
5.1;171.5
5.15;183.2
5.2;191.6
5.25;197.6
5.3;202.7
5.35;206.6
5.4;210.2
5.45;213.3
5.5;215.7

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.25;90.82
0.3;76.86
0.35;69.67
0.4;62.16
0.45;56.13
0.5;52.14
0.55;48.28
0.6;46.12
0.65;44.01
0.7;41.84
0.75;40.81
0.8;36.94
0.85;33.38
0.9;31.99
0.95;30.97
1;30.25
1.05;29.96
1.1;29.86
1.15;29.44
1.2;28.01
1.25;25.49
1.3;24.81
1.35;24.84
1.4;24.27
1.45;23.95
1.5;24.06
1.55;23.8
1.6;23.06
1.65;22.55
1.7;21.84
1.75;22.29
1.8;22.48
1.85;21.47
1.9;20.88
