V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-177.9
0.1;-162.7
0.2;-150.2
0.3;-140.5
0.4;-134
0.5;-127.9
0.6;-122.7
0.7;-117.9
0.8;-114.1
0.9;-110.8
1;-107.3
1.1;-104.4
1.2;-101.6
1.3;-98.9
1.4;-96.1
1.5;-93.9
1.6;-91.5
1.7;-89.1
1.8;-87.2
1.9;-85
2;-82.8
2.1;-80.7
2.2;-78.4
2.3;-77.4
2.4;-74.3
2.5;-72.6
2.6;-70.6
2.7;-68.9
2.8;-67.6
2.9;-64.5
3;-62.4
3.1;-60.4
3.2;-58.1
3.3;-55.9
3.4;-53.7
3.5;-51.3
3.6;-48.7
3.7;-46.1
3.8;-43.2
3.9;-40.5
4;-37.6
4.1;-34.2
4.2;-30.6
4.3;-26.5
4.4;-22.3
4.5;-16.8
4.6;-10.5
4.7;-2.6
4.8;9.4
4.9;28.5
5;90.6
5.1;173.6
5.2;192.1
5.3;202.7
5.4;210
5.5;215.9
5.6;220.7
5.7;224.6
5.8;227.9
5.9;231

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.5;54.38
0.6;46.41
0.7;41.54
0.8;37.68
0.9;33.38
1;30.91
1.1;29.03
1.2;27.69
1.3;26.47
1.4;25
1.5;23.9
1.6;22.75
1.7;21.79
1.8;22.08
1.9;20.99
2;20.57
2.1;20.53
2.2;20.73
2.3;20.65
2.4;19.31
2.5;18.96
2.6;19.31
2.7;19.82
2.8;19.87
2.9;21.75
3;22.31
3.1;22.53
3.2;22.24
3.3;21.87
3.4;23.59
3.5;24.76
3.6;25.6
3.7;26.72
3.8;27.8
3.9;29.42
4;31.16
4.1;33.77
4.2;37.19
4.3;40.77
4.4;44.5
4.5;32.57
4.6;44.1
4.7;156.87
4.8;302.3
4.9;418.2
5;464.42
5.1;425.92
5.2;315.33
5.3;170.73
5.4;48.64

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.6
0.1;-161.8
0.2;-148.9
0.3;-140.7
0.4;-132.8
0.5;-127.4
0.6;-122.2
0.7;-118.8
0.8;-114.2
0.9;-110.5
1;-107.1
1.1;-104.3
1.2;-102
1.3;-98.9
1.4;-96.4
1.5;-94.1
1.6;-91.7
1.7;-89.6
1.8;-87.7
1.9;-85.2
2;-84
2.1;-81.3
2.2;-79.3
2.3;-77
2.4;-75.1
2.5;-73.2
2.6;-71.2
2.7;-69.1
2.8;-67
2.9;-65.2
3;-62.8
3.1;-60.8
3.2;-58.7
3.3;-55.5
3.4;-54.4
3.5;-51.8
3.6;-49.4
3.7;-46.8
3.8;-44.3
3.9;-41.2
4;-37.8
4.1;-35.4
4.2;-31.3
4.3;-27.2
4.4;-23
4.5;-17.7
4.6;-11.8
4.7;-3.8
4.8;6.4
4.9;25.8
5;76.7
5.1;171.8
5.2;191.4
5.3;202.1
5.4;209.4
5.5;215.4
5.6;220.1
5.7;224
5.8;227.4
5.9;230.3
6;233.1

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.5;52.15
0.6;44.69
0.7;41.13
0.8;36.63
0.9;34.19
1;31.38
1.1;28.99
1.2;26.34
1.3;25.59
1.4;24.35
1.5;24.01
1.6;22.12
1.7;20.63
1.8;20.28
1.9;20.4
2;20.77
2.1;21.16
2.2;21.05
2.3;20.69
2.4;20.76
2.5;19.51
2.6;19.94
2.7;20.19
2.8;20.1
2.9;21.49
3;21.82
3.1;22.03
3.2;22.16
3.3;22.39
3.4;22.26
3.5;22.88
3.6;24.66
3.7;25.96
3.8;28.2
3.9;29.33
4;31.5
4.1;34.14
4.2;36.96
4.3;40.75
4.4;43.37
4.5;36.49
4.6;32.42
4.7;139.87
4.8;288.14
4.9;412.08
5;467.97
5.1;438.04
5.2;332.31
5.3;185.54
5.4;56.53
5.5;7.02

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.5
0.1;-160.3
0.2;-147.4
0.3;-137.8
0.4;-131.9
0.5;-126.1
0.6;-120.6
0.7;-116.4
0.8;-112.3
0.9;-109.4
1;-105.7
1.1;-102.7
1.2;-100.1
1.3;-97.4
1.4;-95
1.5;-92.7
1.6;-90
1.7;-88.1
1.8;-85.9
1.9;-83.8
2;-81.7
2.1;-79.4
2.2;-77.8
2.3;-75.7
2.4;-73.4
2.5;-71.6
2.6;-69.6
2.7;-67.4
2.8;-65.7
2.9;-63.3
3;-61.2
3.1;-59.2
3.2;-57
3.3;-55
3.4;-52.5
3.5;-50
3.6;-47.7
3.7;-45.1
3.8;-42.5
3.9;-39.4
4;-36.4
4.1;-32.9
4.2;-29.8
4.3;-25.3
4.4;-20.9
4.5;-15.9
4.6;-9.3
4.7;-0.7
4.8;9.8
4.9;29.1
5;89
5.1;171.7
5.2;191
5.3;201.5
5.4;209.2
5.5;215
5.6;219.6
5.7;223.5
5.8;227
5.9;230.1
6;232.6

