V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.8
2;-77.3
2.1;-79.7
2.2;-77.8
2.3;-75.6
2.4;-73.5
2.5;-71.5
2.6;-69.7
2.7;-67.6
2.8;-65.4
2.9;-63.7
3;-61.5
3.1;-59.2
3.2;-56.9
3.3;-54.8
3.4;-52.8
3.5;-50.4
3.6;-47.7
3.7;-45
3.8;-42.7
3.9;-39.5
4;-36.3
4.1;-33
4.2;-29.5
4.3;-25.5
4.4;-20.8
4.5;-15.7
4.6;-10.6
4.7;-1.9
4.8;9.6
4.9;27.2
5;79.1
5.1;173.1
5.2;192.4
5.3;203.4
5.4;210.8
5.5;216.9
5.6;221.4
5.7;225.6
5.8;228.9
5.9;231.7
6;234.5

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;15.88
2.5;22.75
2.6;19.82
2.7;19.68
2.8;20.32
2.9;21.15
3;21.48
3.1;21.36
3.2;21.71
3.3;22.67
3.4;22.83
3.5;23.75
3.6;25.28
3.7;27.06
3.8;28.51
3.9;29.79
4;31.93
4.1;35.33
4.2;37.27
4.3;39.46
4.4;43.58
4.5;36.46
4.6;34.01
4.7;140.88
4.8;287.85
4.9;410.89
5;465.55
5.1;434.99
5.2;330.52
5.3;185.94
5.4;56.73
5.5;8.41

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.9
2;-80.8
2.1;-79.7
2.2;-77.9
2.3;-75.7
2.4;-73.7
2.5;-71.8
2.6;-69.9
2.7;-67.7
2.8;-65.7
2.9;-63.5
3;-61.6
3.1;-59.5
3.2;-57.4
3.3;-55.1
3.4;-52.7
3.5;-50.5
3.6;-48.1
3.7;-45.4
3.8;-42.8
3.9;-39.6
4;-37.6
4.1;-33.5
4.2;-29.8
4.3;-26.1
4.4;-21.4
4.5;-16.3
4.6;-10.2
4.7;-2
4.8;9.3
4.9;27
5;82.2
5.1;173
5.2;192.2
5.3;203.1
5.4;210.9
5.5;216.8
5.6;221.4
5.7;225.3
5.8;228.8
5.9;232
6;234.6

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;18.67
2.5;20.67
2.6;20.32
2.7;20.33
2.8;20.54
2.9;20.59
3;20.84
3.1;21.18
3.2;21.72
3.3;22.44
3.4;23.11
3.5;24.59
3.6;24.78
3.7;25.55
3.8;27.34
3.9;29.22
4;31.47
4.1;34.32
4.2;37.49
4.3;41.06
4.4;45.31
4.5;35.13
4.6;36.72
4.7;144.92
4.8;291
4.9;411.99
5;465.04
5.1;433.64
5.2;327.87
5.3;182.73
5.4;54.71
5.5;10.43

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.4
2;-82.6
2.1;-80.3
2.2;-78.3
2.3;-76.3
2.4;-74.4
2.5;-72.5
2.6;-70.3
2.7;-68.3
2.8;-66.3
2.9;-64.1
3;-62.2
3.1;-59.9
3.2;-57.8
3.3;-55.6
3.4;-53.4
3.5;-50.9
3.6;-48.6
3.7;-45.9
3.8;-43.4
3.9;-40.1
4;-37.3
4.1;-34.1
4.2;-30.3
4.3;-26.6
4.4;-22.1
4.5;-16.7
4.6;-10.6
4.7;-3.2
4.8;9
4.9;26.4
5;78.3
5.1;171.1
5.2;190.3
5.3;201.4
5.4;209.1
5.5;215.1
5.6;219.9
5.7;223.8
5.8;227.1
5.9;230.2
6;232.9

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;19.71
2.5;19.94
2.6;20.24
2.7;20.53
2.8;20.77
2.9;20.9
3;20.91
3.1;21.46
3.2;21.77
3.3;22.43
3.4;22.91
3.5;23.92
3.6;25.34
3.7;26.43
3.8;28.03
3.9;29.59
4;31.4
4.1;33.76
4.2;37.19
4.3;39.85
4.4;44.56
4.5;37.27
4.6;35.36
4.7;141.49
4.8;286.39
4.9;407.59
5;462.17
5.1;432.52
5.2;328.39
5.3;185.77
5.4;57.47
5.5;9.78

