V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;159.5
0.05;157.7
0.1;155.8
0.15;153.8
0.2;151.9
0.25;150.2
0.3;148
0.35;146.7
0.4;144.8
0.45;143
0.5;141.2
0.55;140.1
0.6;138.1
0.65;136.2
0.7;135.1
0.75;133.4
0.8;132.2
0.85;130.7
0.9;129.3
0.95;127.9
1;126.7
1.05;125.4
1.1;124.1
1.15;122.9
1.2;121.7
1.25;120.5
1.3;119.4
1.35;118.2
1.4;117.1
1.45;116
1.5;114.9
1.55;113.8
1.6;112.7
1.65;111.7
1.7;110.7
1.75;109.6
1.8;108.7
1.85;107.7
1.9;106.7
1.95;105.7
2;104.7
2.05;103.6
2.1;102.8
2.15;101.7
2.2;100.8
2.25;99.8
2.3;98.9
2.35;97.8
2.4;97
2.45;96
2.5;95.1
2.55;94.2
2.6;93.2
2.65;92.2
2.7;91.2
2.75;90.3
2.8;89.3
2.85;88.3
2.9;87.3
2.95;86.3
3;85.3
3.05;84.3
3.1;83.2
3.15;82.2
3.2;81.2
3.25;80.1
3.3;79.1
3.35;78
3.4;76.9
3.45;75.7
3.5;74.6
3.55;73.4
3.6;72.1
3.65;71
3.7;69.7
3.75;68.4
3.8;67.2
3.85;65.7
3.9;64.4
3.95;63
4;61.6
4.05;60
4.1;58.4
4.15;56.6
4.2;54.9
4.25;53
4.3;51
4.35;49
4.4;46.7
4.45;44.4
4.5;42
4.55;39.2
4.6;36.1
4.65;32.7
4.7;29
4.75;24.8
4.8;19.6
4.85;12.7
4.9;3
4.95;-9.4
5;-32.4
5.05;-133.3
5.1;-175.4
5.15;-191.2
5.2;-201.7
5.25;-208.9
5.3;-214.7
5.35;-219.2
5.4;-223.1
5.45;-226.2
5.5;-229.3

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.25;-36.56
0.3;-36.38
0.35;-34.88
0.4;-33.67
0.45;-33.91
0.5;-33.28
0.55;-33.68
0.6;-31.99
0.65;-31.13
0.7;-30.17
0.75;-29.31
0.8;-27.48
0.85;-27.46
0.9;-27.57
0.95;-26.46
1;-26.12
1.05;-25.2
1.1;-24.68
1.15;-24.28
1.2;-23.92
1.25;-23.28
1.3;-22.88
1.35;-22.6
1.4;-22.4
1.45;-22.21
1.5;-21.8
1.55;-21.51
1.6;-21.21
1.65;-20.68
1.7;-20.2
1.75;-19.88
1.8;-19.65
1.85;-20.04
1.9;-19.89
1.95;-19.99
2;-20.04
2.05;-19.8
2.1;-19.37
2.15;-19.43
2.2;-19.28
2.25;-19.29
2.3;-19.35
2.35;-18.77
2.4;-18.68
2.45;-18.49
2.5;-18.79
2.55;-18.98
2.6;-19.42
2.65;-19.4
2.7;-19.6
2.75;-19.6
2.8;-19.6
2.85;-19.68
2.9;-20
2.95;-20.32
3;-20.28
3.05;-20.51
3.1;-20.6
3.15;-20.68
3.2;-20.69
3.25;-21
3.3;-21.37
3.35;-21.88
3.4;-22.63
3.45;-23.09
3.5;-23.59
3.55;-24.04
3.6;-24.17
3.65;-24.68
3.7;-25.33
3.75;-25.87
3.8;-26.37
3.85;-27.11
3.9;-27.53
3.95;-28.78
4;-30.08
4.05;-31.45
4.1;-33.51
4.15;-34.97
4.2;-36.68
4.25;-38.49
4.3;-40.33
4.35;-42.3
4.4;-45.02
4.45;-48.35
4.5;-52.64
4.55;-57.28
4.6;-62.03
4.65;-67.88
4.7;-77.94
4.75;-87.1
4.8;-28.93
4.85;-155.92
4.9;-426.3
4.95;-706.88
5;-892.92
5.05;-922.82
5.1;-788.13
5.15;-530.87
5.2;-239.83
5.25;-44.88

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;159
0.05;157.2
0.1;155.1
0.15;153.4
0.2;151.4
0.25;149.5
0.3;147.9
0.35;146
0.4;144.2
0.45;142.5
0.5;140.9
0.55;139.2
0.6;137.6
0.65;136.1
0.7;134.5
0.75;133
0.8;131.7
0.85;130.3
0.9;128.9
0.95;127.6
1;126.3
1.05;125
1.1;123.7
1.15;122.5
1.2;121.4
1.25;120.1
1.3;119
1.35;117.9
1.4;116.8
1.45;115.6
1.5;114.6
1.55;113.5
1.6;112.5
1.65;111.4
1.7;110.4
1.75;109.4
1.8;108.3
1.85;107.4
1.9;106.3
1.95;105.4
2;104.4
2.05;103.4
2.1;102.5
2.15;101.5
2.2;100.5
2.25;99.6
2.3;98.6
2.35;97.7
2.4;96.7
2.45;95.8
2.5;94.8
2.55;93.8
2.6;92.9
2.65;91.9
2.7;90.9
2.75;89.9
2.8;89
2.85;88.1
2.9;87.1
2.95;86.1
3;85.1
3.05;84.1
3.1;83
3.15;82
3.2;81
3.25;79.9
3.3;78.8
3.35;77.7
3.4;76.7
3.45;75.5
3.5;74.4
3.55;73.1
3.6;72
3.65;70.7
3.7;69.5
3.75;68.2
3.8;66.9
3.85;65.6
3.9;64.1
3.95;62.7
4;61.2
4.05;59.6
4.1;58
4.15;56.4
4.2;54.7
4.25;52.8
4.3;50.7
4.35;48.7
4.4;46.5
4.45;44
4.5;41.6
4.55;38.7
4.6;35.8
