V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;159
0.02;158.5
0.04;157.7
0.09;155.7
0.215;150.6
0.4135;143.9
0.6135;137.6
0.8135;131.4
1.0135;125.9
1.2135;121.1
1.4135;116.2
1.6135;111.8
1.8135;107.7
2.0135;103.8
2.2135;99.9
2.4135;96.3
2.6135;92
2.8135;88.3
3.0135;84.4
3.2135;80.3
3.4135;75.8
3.6135;71.4
3.8135;66.2
4.0135;60.3
4.2135;53.9
4.4135;45.4
4.592;35.5
4.702;27.3
4.782;19.9
4.852;10.9
4.896;3.3
4.9305;-5.3
4.953;-12
4.976;-21.4
4.996;-33.4
5.016;-51.1
5.036;-101.5
5.056;-147.4
5.076;-164.6
5.101;-177.8
5.1255;-186.3
5.1605;-195.2
5.203;-203.4
5.258;-210.7
5.344;-219.1
5.456;-227.3

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.4135;-33.71
0.6135;-30.87
0.8135;-28.43
1.0135;-26.31
1.2135;-24.48
1.4135;-22.72
1.6135;-21.07
1.8135;-20.2
2.0135;-19.59
2.2135;-19.16
2.4135;-19.11
2.6135;-19.35
2.8135;-19.61
3.0135;-20.03
3.2135;-20.94
3.4135;-21.97
3.6135;-23.78
3.8135;-26.44
4.0135;-30.93
4.2135;-38.39
4.4135;-52.47
4.592;-76.34
4.702;-102.84
4.782;-136.8
4.852;-193.02
4.896;-270.47
4.9305;-435.79
4.953;-572.88
4.976;-732.25
4.996;-1058.95
5.016;-1436.79
5.036;-1541.01
5.056;-1276.62
5.076;-936.48
5.101;-696.38
5.1255;-565.29

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;158.7
0.02;158
0.04;157.8
0.09;155.5
0.215;151.1
0.415;143.7
0.615;137
0.815;129
1.015;125.9
1.215;120.9
1.415;116.5
1.615;111.9
1.815;107.8
2.015;103.9
2.215;100.4
2.415;96.4
2.615;92.4
2.815;88.4
3.015;84.8
3.215;80.5
3.415;76.2
3.615;71.1
3.815;66.5
4.015;60.6
4.215;54
4.415;45.9
4.61;33.8
4.694;29.1
4.856;9.9
4.8875;5.7
4.942;-8.1
4.962;-13
4.996;-34.5
5.016;-48.5
5.036;-112.7
5.056;-150
5.076;-166.6
5.098;-178
5.1225;-186.6
5.156;-194.8
5.203;-203.5
5.2595;-211.2
5.3395;-219.8
5.435;-226.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.415;-35.28
0.615;-31.37
0.815;-27.78
1.015;-25.02
1.215;-22.74
1.415;-21.07
1.615;-20.3
1.815;-20.56
2.015;-19.46
2.215;-19.1
2.415;-18.98
2.615;-19.15
2.815;-19.79
3.015;-20.32
3.215;-21.01
3.415;-22.26
3.615;-23.42
3.815;-26.73
4.015;-29.28
4.215;-37.91
4.415;-53.21
4.61;-83.3
4.694;-109.8
4.856;-217.83
4.8875;-364.26
4.942;-662.73
4.962;-739.28
4.996;-943.74
5.016;-1321.2
5.036;-1446.07
5.056;-1286.36
5.076;-941.26
5.098;-711.68
5.1225;-565.8

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;158.9
0.02;158.2
0.04;157.5
0.09;155.7
0.215;151.1
0.415;143.6
0.615;137.5
0.815;131.4
1.015;126.1
1.215;121.3
1.415;116.4
1.615;112.5
1.815;108.1
2.015;104.2
2.215;100.1
2.415;96.7
2.615;92.7
2.815;88.8
3.015;84.8
3.215;80.8
3.415;76.3
3.615;71.7
3.815;66.6
4.015;61.3
4.215;54.1
4.415;46.1
4.6135;35.2
4.7205;26.8
4.7915;19.7
4.854;11.4
4.8995;4.3
4.9435;-7.7
4.9635;-13.5
4.9895;-25.6
5.0095;-41.8
5.0295;-81.4
5.0495;-139.7
5.0695;-160.8
5.0905;-173.3
5.1145;-182.8
5.1445;-192
5.1785;-199.1
5.2345;-208.5
5.2945;-215.3
5.398;-224.2

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.415;-33.52
0.615;-30.89
0.815;-28.03
1.015;-25.65
1.215;-23.6
1.415;-22.39
1.615;-21.03
1.815;-20.19
2.015;-19.51
2.215;-19.15
2.415;-19.06
2.615;-19.03
2.815;-19.52
3.015;-20.3
3.215;-20.99
3.415;-22
3.615;-23.6
3.815;-26.2
4.015;-30.59
4.215;-37.89
4.415;-51.92
4.6135;-80.71
4.7205;-109.4
4.7915;-144.07
4.854;-202.18
4.8995;-320.33
4.9435;-571.65
4.9635;-668.69
4.9895;-902.73
5.0095;-1244.28
5.0295;-1517.63
5.0495;-1466.02
5.0695;-1063.59
5.0905;-774.06
5.1145;-623.23

