V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;159.1
1.143;124.4
1.7145;110.2
2;105.3
2.2;101
2.4;97
2.6;93.1
2.8;89.5
3;85.4
3.2;81.6
3.4;77
3.6;72.5
3.8;67.5
4;62.1
4.2;55.3
4.4;47.4
4.6;36.8
4.715;27.3
4.7765;22.7
4.8945;4.3
4.919;1
4.98;-27.1
5;-32.5
5.05;-134.7
5.07;-157.9
5.09;-171.4
5.11;-179.9
5.1405;-189.5
5.1745;-197.3
5.223;-206.1
5.278;-212.8
5.3775;-222.3
5.4845;-228.9
5.684;-238.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;-19.4
2.6;-18.96
2.8;-19.64
3;-19.77
3.2;-20.6
3.4;-21.86
3.6;-23.43
3.8;-25.57
4;-30.24
4.2;-35.73
4.4;-50.68
4.6;-85.35
4.715;-124.06
4.7765;-209.37
4.8945;-474.5
4.919;-530.49
4.98;-784.38
5;-917.64
5.05;-1022.1
5.07;-1151.95
5.09;-885.83
5.11;-580.7
5.1405;-459.78
5.1745;-283.9

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;159.4
1.143;124.2
1.7145;111.6
2;105.3
2.2;101
2.4;97.3
2.6;93.4
2.8;89.7
3;85.7
3.2;81.4
3.4;77.2
3.6;72.5
3.8;67.5
4;61.9
4.2;55.2
4.4;46.8
4.5835;37.6
4.7145;27.3
4.7795;20.8
4.8435;12.8
4.894;3.6
4.9245;-1.5
4.9755;-27.9
4.9955;-34.4
5.035;-113.1
5.055;-150.4
5.075;-166.3
5.0985;-178.3
5.123;-186.6
5.158;-195.1
5.204;-203.9
5.2575;-211
5.343;-219.5
5.4525;-227.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;-19.53
2.6;-19.56
2.8;-19.35
3;-20.03
3.2;-20.99
3.4;-22.01
3.6;-23.83
3.8;-25.99
4;-30.31
4.2;-37.68
4.4;-51.12
4.5835;-74.62
4.7145;-119.26
4.7795;-156.18
4.8435;-284.2
4.894;-433.41
4.9245;-498.9
4.9755;-802.42
4.9955;-991.65
5.035;-1225.56
5.055;-1227.02
5.075;-943.54
5.0985;-621.91
5.123;-525.6

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;158.9
1.143;123.4
1.7145;110.4
2;104.3
2.2;100.3
2.4;96.6
2.6;92.8
2.8;88.8
3;85.1
3.2;80.6
3.4;77
3.6;72.1
3.8;66.7
4;61.3
4.2;54.8
4.4;45.9
4.562;38.3
4.7245;24.7
4.7775;21.1
4.91;-5.5
4.93;-3.3
4.98;-23.1
5;-31.1
5.02;-51.8
5.04;-114.2
5.06;-150.5
5.08;-165.8
5.105;-178
5.1305;-187.2
5.161;-194
5.2175;-204
5.2755;-211.8
5.353;-218.7
5.49;-228.6

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;-19.26
2.6;-19.18
2.8;-19.09
3;-19.8
3.2;-20.8
3.4;-21.72
3.6;-23.86
3.8;-25.8
4;-30.8
4.2;-35.72
4.4;-52.36
4.562;-76.76
4.7245;-124.54
4.7775;-157.2
4.91;-395.67
4.93;-563.34
4.98;-891.79
5;-939.81
5.02;-1069.1
5.04;-1564.33
5.06;-1262.06
5.08;-898.75
5.105;-683.44
5.1305;-548.46

