Gran Raw: V_eq = 5.025 mL, R² = 0.9995, k = 0.000, Zone = 11-26
Gran Raw: V_eq = 5.029 mL, R² = 0.9993, k = 0.000, Zone = 12-27
Gran Raw: V_eq = 5.023 mL, R² = 0.9996, k = 0.000, Zone = 12-27
Gran Raw: V_eq = 5.007 mL, R² = 0.9992, k = 0.000, Zone = 23-50
Gran Raw: V_eq = 5.027 mL, R² = 0.9996, k = 0.000, Zone = 22-50
Gran Raw: V_eq = 5.014 mL, R² = 0.9998, k = 0.000, Zone = 22-50
Gran Raw: V_eq = 5.010 mL, R² = 0.9998, k = 0.000, Zone = 11-30
Gran Raw: V_eq = 5.014 mL, R² = 0.9997, k = 0.000, Zone = 11-31
Gran Raw: V_eq = 5.033 mL, R² = 0.9999, k = 0.000, Zone = 5-25
Gran Raw: V_eq = 5.011 mL, R² = 0.9996, k = 0.000, Zone = 70-100
Gran Raw: V_eq = 5.010 mL, R² = 0.9999, k = 0.000, Zone = 70-100
Gran Raw: V_eq = 5.010 mL, R² = 1.0000, k = 0.000, Zone = 70-100
Gran Raw: V_eq = 5.009 mL, R² = 0.9999, k = 0.000, Zone = 31-61
Gran Raw: V_eq = 5.010 mL, R² = 0.9999, k = 0.000, Zone = 29-59
Gran Raw: V_eq = 5.018 mL, R² = 0.9999, k = 0.000, Zone = 25-55
Gran Raw: V_eq = 4.986 mL, R² = 0.9999, k = 0.000, Zone = 210-240
Gran Raw: V_eq = 5.021 mL, R² = 0.9999, k = 0.000, Zone = 214-244
Gran Raw: V_eq = 5.008 mL, R² = 0.9999, k = 0.000, Zone = 210-240
Gran Raw: V_eq = 4.994 mL, R² = 0.9999, k = 0.000, Zone = 111-141
Gran Raw: V_eq = 4.993 mL, R² = 1.0000, k = 0.000, Zone = 114-144
Gran Raw: V_eq = 5.132 mL, R² = 0.9998, k = 0.000, Zone = 89-119
