Schwartz Opt: V_eq = 5.016 mL, R² = 0.9997, k = 0.113, Zone = 10-27
Schwartz Opt: V_eq = 5.011 mL, R² = 0.9990, k = 0.272, Zone = 10-28
Schwartz Opt: V_eq = 5.014 mL, R² = 0.9997, k = 0.120, Zone = 9-26
Schwartz Opt: V_eq = 5.005 mL, R² = 0.9992, k = 0.060, Zone = 21-50
Schwartz Opt: V_eq = 5.007 mL, R² = 0.9995, k = 0.106, Zone = 20-50
Schwartz Opt: V_eq = 5.010 mL, R² = 0.9999, k = 0.092, Zone = 17-46
Schwartz Opt: V_eq = 5.005 mL, R² = 0.9998, k = 0.114, Zone = 11-31
Schwartz Opt: V_eq = 5.004 mL, R² = 0.9998, k = 0.213, Zone = 8-29
Schwartz Opt: V_eq = 5.018 mL, R² = 0.9999, k = 0.062, Zone = 7-28
Schwartz Opt: V_eq = 5.004 mL, R² = 0.9996, k = 0.237, Zone = 68-98
Schwartz Opt: V_eq = 5.006 mL, R² = 0.9999, k = 0.147, Zone = 69-99
Schwartz Opt: V_eq = 5.009 mL, R² = 1.0000, k = 0.044, Zone = 68-98
Schwartz Opt: V_eq = 5.007 mL, R² = 0.9999, k = 0.084, Zone = 31-61
Schwartz Opt: V_eq = 5.006 mL, R² = 0.9999, k = 0.133, Zone = 29-59
Schwartz Opt: V_eq = 5.010 mL, R² = 0.9999, k = 0.134, Zone = 25-55
Schwartz Opt: V_eq = 4.986 mL, R² = 0.9999, k = 0.032, Zone = 209-239
Schwartz Opt: V_eq = 5.021 mL, R² = 0.9999, k = 0.000, Zone = 214-244
Schwartz Opt: V_eq = 5.008 mL, R² = 0.9999, k = 0.000, Zone = 210-240
Schwartz Opt: V_eq = 4.993 mL, R² = 0.9999, k = 0.095, Zone = 111-141
Schwartz Opt: V_eq = 4.993 mL, R² = 1.0000, k = 0.000, Zone = 114-144
Schwartz Opt: V_eq = 5.122 mL, R² = 0.9998, k = 0.146, Zone = 89-119
