V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.5
0.05;-168.7
0.1;-161.2
0.157;-153.2
0.217;-147.4
0.339;-137.8
0.461;-129.9
0.614;-121.8
0.797;-114.3
1.0535;-106.1
1.3655;-97.1
1.6785;-90.1
2.138;-79.9
2.4985;-72.6
2.936;-64.2
3.3815;-54.5
3.7025;-46.8
4;-38.4
4.2425;-29.7
4.4205;-21.8
4.564;-13.7
4.675;-6.3
4.7795;5.7
4.8295;11.3
4.904;28.2
4.954;49.3
5.004;90.3
5.054;156.3
5.104;174.2
5.1865;189.7
5.268;199.1
5.3795;207.8
5.5355;216.4
5.735;224.1
6.0375;233.1
6.3855;240.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.339;79.32
0.461;64.08
0.614;51.49
0.797;41.38
1.0535;33.13
1.3655;26.81
1.6785;23
2.138;20.11
2.4985;19.31
2.936;20.04
3.3815;23.37
3.7025;27.91
4;35.43
4.2425;46.32
4.4205;61.89
4.564;87.36
4.675;135.54
4.7795;239.03
4.8295;278.32
4.904;407.88
4.954;555.56
5.004;607.05
5.054;485.11
5.104;385.21
5.1865;302.43
5.268;224.01

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.7
0.05;-168.6
0.1;-159.8
0.15;-154.2
0.259;-142.7
0.3405;-136.4
0.4815;-127.6
0.643;-119.5
0.8395;-112.3
1.136;-102.6
1.4095;-95.5
1.8075;-86.2
2.185;-78.5
2.6315;-69.7
3.049;-61.3
3.443;-53.1
3.8145;-43.4
4.0575;-35.9
4.272;-28.1
4.4645;-19.4
4.6035;-10.7
4.697;-4.1
4.7985;7.6
4.8485;14.3
4.8995;26.2
4.9495;40.5
4.9995;83.9
5.0495;152.1
5.0995;172
5.1685;186.9
5.2375;195.6
5.345;205.1
5.4755;213.5
5.6445;221.2
5.895;228.7
6.2965;237.9

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.3405;80.72
0.4815;63.04
0.643;49.73
0.8395;40.05
1.136;30.75
1.4095;25.98
1.8075;21.62
2.185;19.56
2.6315;19.01
3.049;20.51
3.443;23.99
3.8145;30.3
4.0575;37.6
4.272;47.77
4.4645;64.91
4.6035;89.37
4.697;134.8
4.7985;253.29
4.8485;305.07
4.8995;402.24
4.9495;586.04
4.9995;646.47
5.0495;536.26
5.0995;410.93
5.1685;319.82
5.2375;258.77

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-176.3
0.05;-167.8
0.1;-160.1
0.1575;-152.6
0.231;-145.3
0.335;-137.4
0.476;-128.5
0.626;-120.6
0.807;-113.9
1.119;-103.1
1.367;-97.2
1.842;-85.8
2.179;-79.4
2.679;-69.3
3.0485;-61.5
3.4165;-53.3
3.751;-45.2
4.0545;-36.8
4.3085;-27.8
4.4875;-18.8
4.599;-11
4.681;-5.4
4.799;8.1
4.849;15.3
4.899;26.4
4.949;43.6
4.999;83.4
5.049;150.8
5.099;171.4
5.1625;184.9
5.2355;194.7
5.3295;203.5
5.4535;211.7
5.6225;219.6
5.865;227.6
6.2135;235.8

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.335;79.92
0.476;62.73
0.626;50.45
0.807;41.31
1.119;31.01
1.367;26.35
1.842;21.26
2.179;19.96
2.679;19.57
3.0485;20.9
3.4165;23.7
3.751;28.47
4.0545;37.24
4.3085;50.71
4.4875;69.57
4.599;92.58
4.681;130.71
4.799;254.19
4.849;301.25
4.899;405.66
4.949;585.73
4.999;643.75
5.049;543.99
5.099;409.67
5.1625;322.55
5.2355;252.49

