0,-176.5,5.014121,0,-176.7,5.013111,0,-176.3,5.010497,0,-177.9,5.01094,0,-176.6,5.022725,0,-176.5,5.012918,0,-176.8,5.022195,0,-176.9,5.019507,0,-176.4,5.021979,0,-177.5,5.014196,0,-178.1,5.016177,0,-179.3,5.013817,0,-177.6,5.015005,0,-178,5.015485,0,-178.5,5.013928,0,-177.9,5.007154,0,-178.5,5.051755,0,-177.6,5.026338,0,-179.3,5.012966,0,-178.1,5.007864,0,-180.5,5.242328
0.05,-168.7,,0.05,-168.6,,0.05,-167.8,,0.1,-162.7,,0.1,-161.8,,0.1,-160.3,,2,-77.3,,2,-80.8,,2,-82.6,,0.05,-169.3,,0.05,-169.8,,0.05,-171.2,,2,-82.6,,2,-78.5,,2,-86.8,,0.02,-174.4,,0.02,-175.6,,0.02,-174.2,,2,-80.8,,2,-80.2,,2,-83.6,
0.1,-161.2,,0.1,-159.8,,0.1,-160.1,,0.2,-150.2,,0.2,-148.9,,0.2,-147.4,,2.1,-79.7,,2.1,-79.7,,2.1,-80.3,,0.1,-161.4,,0.1,-161.7,,0.1,-162.2,,2.05,-81.8,,2.05,-82.3,,2.05,-83.1,,0.04,-170.7,,0.04,-172,,0.04,-171,,2.02,-86,,2.02,-85.5,,2.02,-86.6,
0.157,-153.2,,0.15,-154.2,,0.1575,-152.6,,0.3,-140.5,,0.3,-140.7,,0.3,-137.8,,2.2,-77.8,,2.2,-77.9,,2.2,-78.3,,0.15,-154.6,,0.15,-155.2,,0.15,-155.5,,2.1,-80.8,,2.1,-81.4,,2.1,-82,,0.06,-167.6,,0.06,-169.6,,0.06,-168,,2.04,-85.5,,2.04,-85,,2.04,-86.3,
0.217,-147.4,,0.259,-142.7,,0.231,-145.3,,0.4,-134,,0.4,-132.8,,0.4,-131.9,,2.3,-75.6,,2.3,-75.7,,2.3,-76.3,,0.2,-149.6,,0.2,-148.5,,0.2,-150,,2.15,-79.8,,2.15,-80.5,,2.15,-80.8,,0.08,-164.6,,0.08,-165.9,,0.08,-165,,2.06,-85.1,,2.06,-84.6,,2.06,-85.8,
0.339,-137.8,,0.3405,-136.4,,0.335,-137.4,,0.5,-127.9,,0.5,-127.4,,0.5,-126.1,,2.4,-73.5,,2.4,-73.7,,2.4,-74.4,,0.25,-144,,0.25,-145.9,,0.25,-144.9,,2.2,-78.9,,2.2,-79.3,,2.2,-79.7,,0.1,-161.5,,0.1,-163.1,,0.1,-162,,2.08,-84.6,,2.08,-84.2,,2.08,-85.4,
0.461,-129.9,,0.4815,-127.6,,0.476,-128.5,,0.6,-122.7,,0.6,-122.2,,0.6,-120.6,,2.5,-71.5,,2.5,-71.8,,2.5,-72.5,,0.3,-140,,0.3,-139.9,,0.3,-141.1,,2.25,-77.7,,2.25,-78.5,,2.25,-78.8,,0.12,-158.6,,0.12,-160.6,,0.12,-159.3,,2.1,-84.4,,2.1,-83.8,,2.1,-85.1,
0.614,-121.8,,0.643,-119.5,,0.626,-120.6,,0.7,-117.9,,0.7,-118.8,,0.7,-116.4,,2.6,-69.7,,2.6,-69.9,,2.6,-70.3,,0.35,-136.3,,0.35,-136.4,,0.35,-137.2,,2.3,-77.1,,2.3,-77.3,,2.3,-77.8,,0.14,-156.3,,0.14,-158.1,,0.14,-156.9,,2.12,-83.8,,2.12,-83.4,,2.12,-84.6,
0.797,-114.3,,0.8395,-112.3,,0.807,-113.9,,0.8,-114.1,,0.8,-114.2,,0.8,-112.3,,2.7,-67.6,,2.7,-67.7,,2.7,-68.3,,0.4,-132.8,,0.4,-133,,0.4,-133.8,,2.35,-75.8,,2.35,-76.3,,2.35,-76.8,,0.16,-153.8,,0.16,-155.3,,0.16,-154.4,,2.14,-83.3,,2.14,-82.9,,2.14,-84.2,
1.0535,-106.1,,1.136,-102.6,,1.119,-103.1,,0.9,-110.8,,0.9,-110.5,,0.9,-109.4,,2.8,-65.4,,2.8,-65.7,,2.8,-66.3,,0.45,-129.9,,0.45,-130.4,,0.45,-131.1,,2.4,-74.8,,2.4,-75.3,,2.4,-75.7,,0.18,-151.7,,0.18,-153.5,,0.18,-152.3,,2.16,-83,,2.16,-82.5,,2.16,-83.7,
1.3655,-97.1,,1.4095,-95.5,,1.367,-97.2,,1,-107.3,,1,-107.1,,1,-105.7,,2.9,-63.7,,2.9,-63.5,,2.9,-64.1,,0.5,-127.2,,0.5,-127.2,,0.5,-128.1,,2.45,-73.7,,2.45,-74.3,,2.45,-74.8,,0.2,-149.7,,0.2,-150.8,,0.2,-150.6,,2.18,-82.6,,2.18,-82.1,,2.18,-83.3,
