=== RAW DATA ===
volume,potential
0.0,111.5
0.05,107.4
0.1,102.5
0.168,96.8
0.2765,89.3
0.418,81.5
0.601,74.0
0.8665,65.7
1.1945,57.0
1.5585,49.7
2.0585,40.9
2.5585,32.2
3.0155,25.5
3.5155,16.1
3.878,9.0
4.265,-1.4
4.485,-8.4
4.696,-17.4
4.837,-24.9
4.957,-33.1
5.0475,-41.7
5.1085,-49.9
5.1585,-58.2
5.2085,-68.6
5.2585,-82.1
5.3085,-98.5
5.3585,-130.8
5.4085,-180.1
5.4585,-198.8
5.515,-209.7
5.595,-218.3
5.7295,-228.1
5.8885,-235.7
6.1485,-243.8
6.5435,-252.0


=== METRICS ===
Method,V_eq (mL),R²,k5,Zones (start-end)
Gran Raw,,0.0,0.0,0-34
Gran Optimized,,0.0,0.0,0-34
Schwartz Raw,,0.0,0.0,0-34
Schwartz Optimized,,0.0,0.0,0-34
