V_added_mL,pH,total_volume_mL,note
0.0,1.0,25.0,excess H+
1.0,1.0348,26.0,excess H+
2.0,1.0696,27.0,excess H+
3.0,1.1047,28.0,excess H+
4.0,1.1402,29.0,excess H+
5.0,1.1761,30.0,excess H+
6.0,1.2126,31.0,excess H+
7.0,1.2499,32.0,excess H+
8.0,1.2881,33.0,excess H+
9.0,1.3274,34.0,excess H+
10.0,1.368,35.0,excess H+
11.0,1.4102,36.0,excess H+
12.0,1.4543,37.0,excess H+
13.0,1.5006,38.0,excess H+
14.0,1.5497,39.0,excess H+
15.0,1.6021,40.0,excess H+
16.0,1.6585,41.0,excess H+
17.0,1.7202,42.0,excess H+
18.0,1.7884,43.0,excess H+
19.0,1.8653,44.0,excess H+
20.0,1.9542,45.0,excess H+
21.0,2.0607,46.0,excess H+
22.0,2.195,47.0,excess H+
23.0,2.3802,48.0,excess H+
24.0,2.6902,49.0,excess H+
25.0,7.0,50.0,equivalence (neutral)
26.0,11.2924,51.0,excess OH-
27.0,11.585,52.0,excess OH-
28.0,11.7528,53.0,excess OH-
29.0,11.8697,54.0,excess OH-
30.0,11.9586,55.0,excess OH-
31.0,12.03,56.0,excess OH-
32.0,12.0892,57.0,excess OH-
33.0,12.1397,58.0,excess OH-
34.0,12.1834,59.0,excess OH-
35.0,12.2218,60.0,excess OH-
36.0,12.2561,61.0,excess OH-
37.0,12.2868,62.0,excess OH-
38.0,12.3146,63.0,excess OH-
39.0,12.3399,64.0,excess OH-
40.0,12.3632,65.0,excess OH-
41.0,12.3846,66.0,excess OH-
42.0,12.4044,67.0,excess OH-
43.0,12.4228,68.0,excess OH-
44.0,12.4399,69.0,excess OH-
45.0,12.4559,70.0,excess OH-
46.0,12.471,71.0,excess OH-
47.0,12.4851,72.0,excess OH-
48.0,12.4984,73.0,excess OH-
49.0,12.511,74.0,excess OH-
50.0,12.5229,75.0,excess OH-
