V_added_mL,pH,total_volume_mL,note
0.0,13.0,25.0,excess OH-
1.0,12.9652,26.0,excess OH-
2.0,12.9304,27.0,excess OH-
3.0,12.8953,28.0,excess OH-
4.0,12.8598,29.0,excess OH-
5.0,12.8239,30.0,excess OH-
6.0,12.7874,31.0,excess OH-
7.0,12.7501,32.0,excess OH-
8.0,12.7119,33.0,excess OH-
9.0,12.6726,34.0,excess OH-
10.0,12.632,35.0,excess OH-
11.0,12.5898,36.0,excess OH-
12.0,12.5457,37.0,excess OH-
13.0,12.4994,38.0,excess OH-
14.0,12.4503,39.0,excess OH-
15.0,12.3979,40.0,excess OH-
16.0,12.3415,41.0,excess OH-
17.0,12.2798,42.0,excess OH-
18.0,12.2116,43.0,excess OH-
19.0,12.1347,44.0,excess OH-
20.0,12.0458,45.0,excess OH-
21.0,11.9393,46.0,excess OH-
22.0,11.805,47.0,excess OH-
23.0,11.6198,48.0,excess OH-
24.0,11.3098,49.0,excess OH-
25.0,7.0,50.0,equivalence (neutral)
26.0,2.7076,51.0,excess H+
27.0,2.415,52.0,excess H+
28.0,2.2472,53.0,excess H+
29.0,2.1303,54.0,excess H+
30.0,2.0414,55.0,excess H+
31.0,1.97,56.0,excess H+
32.0,1.9108,57.0,excess H+
33.0,1.8603,58.0,excess H+
34.0,1.8166,59.0,excess H+
35.0,1.7782,60.0,excess H+
36.0,1.7439,61.0,excess H+
37.0,1.7132,62.0,excess H+
38.0,1.6854,63.0,excess H+
39.0,1.6601,64.0,excess H+
40.0,1.6368,65.0,excess H+
41.0,1.6154,66.0,excess H+
42.0,1.5956,67.0,excess H+
43.0,1.5772,68.0,excess H+
44.0,1.5601,69.0,excess H+
45.0,1.5441,70.0,excess H+
46.0,1.529,71.0,excess H+
47.0,1.5149,72.0,excess H+
48.0,1.5016,73.0,excess H+
49.0,1.489,74.0,excess H+
50.0,1.4771,75.0,excess H+
