V_added_mL,pH,total_volume_mL,note
0.0,2.8829,25.0,initial weak acid
1.0,3.3798,26.0,buffer region
2.0,3.6993,27.0,buffer region
3.0,3.8947,28.0,buffer region
4.0,4.0398,29.0,buffer region
5.0,4.1579,30.0,buffer region
6.0,4.2594,31.0,buffer region
7.0,4.3498,32.0,buffer region
8.0,4.4326,33.0,buffer region
9.0,4.5101,34.0,buffer region
10.0,4.5839,35.0,buffer region
11.0,4.6553,36.0,buffer region
12.0,4.7252,37.0,buffer region
13.0,4.7948,38.0,buffer region
14.0,4.8647,39.0,buffer region
15.0,4.9361,40.0,buffer region
16.0,5.0099,41.0,buffer region
17.0,5.0874,42.0,buffer region
18.0,5.1702,43.0,buffer region
19.0,5.2606,44.0,buffer region
20.0,5.3621,45.0,buffer region
21.0,5.4802,46.0,buffer region
22.0,5.6253,47.0,buffer region
23.0,5.8207,48.0,buffer region
24.0,6.1402,49.0,buffer region
25.0,8.7295,50.0,equivalence (conjugate base hydrolysis)
26.0,11.2924,51.0,excess OH-
27.0,11.585,52.0,excess OH-
28.0,11.7528,53.0,excess OH-
29.0,11.8697,54.0,excess OH-
30.0,11.9586,55.0,excess OH-
31.0,12.03,56.0,excess OH-
32.0,12.0892,57.0,excess OH-
33.0,12.1397,58.0,excess OH-
34.0,12.1834,59.0,excess OH-
35.0,12.2218,60.0,excess OH-
36.0,12.2561,61.0,excess OH-
37.0,12.2868,62.0,excess OH-
38.0,12.3146,63.0,excess OH-
39.0,12.3399,64.0,excess OH-
40.0,12.3632,65.0,excess OH-
41.0,12.3846,66.0,excess OH-
42.0,12.4044,67.0,excess OH-
43.0,12.4228,68.0,excess OH-
44.0,12.4399,69.0,excess OH-
45.0,12.4559,70.0,excess OH-
46.0,12.471,71.0,excess OH-
47.0,12.4851,72.0,excess OH-
48.0,12.4984,73.0,excess OH-
49.0,12.511,74.0,excess OH-
50.0,12.5229,75.0,excess OH-
