V_added_mL,pH,total_volume_mL,note
0.0,11.1221,25.0,initial weak base
1.0,10.6302,26.0,buffer region
2.0,10.3107,27.0,buffer region
3.0,10.1153,28.0,buffer region
4.0,9.9702,29.0,buffer region
5.0,9.8521,30.0,buffer region
6.0,9.7506,31.0,buffer region
7.0,9.6602,32.0,buffer region
8.0,9.5774,33.0,buffer region
9.0,9.4999,34.0,buffer region
10.0,9.4261,35.0,buffer region
11.0,9.3547,36.0,buffer region
12.0,9.2848,37.0,buffer region
13.0,9.2152,38.0,buffer region
14.0,9.1453,39.0,buffer region
15.0,9.0739,40.0,buffer region
16.0,9.0001,41.0,buffer region
17.0,8.9226,42.0,buffer region
18.0,8.8398,43.0,buffer region
19.0,8.7494,44.0,buffer region
20.0,8.6479,45.0,buffer region
21.0,8.5298,46.0,buffer region
22.0,8.3847,47.0,buffer region
23.0,8.1893,48.0,buffer region
24.0,7.8698,49.0,buffer region
25.0,5.2755,50.0,equivalence (conjugate acid hydrolysis)
26.0,2.7076,51.0,excess H+
27.0,2.415,52.0,excess H+
28.0,2.2472,53.0,excess H+
29.0,2.1303,54.0,excess H+
30.0,2.0414,55.0,excess H+
31.0,1.97,56.0,excess H+
32.0,1.9108,57.0,excess H+
33.0,1.8603,58.0,excess H+
34.0,1.8166,59.0,excess H+
35.0,1.7782,60.0,excess H+
36.0,1.7439,61.0,excess H+
37.0,1.7132,62.0,excess H+
38.0,1.6854,63.0,excess H+
39.0,1.6601,64.0,excess H+
40.0,1.6368,65.0,excess H+
41.0,1.6154,66.0,excess H+
42.0,1.5956,67.0,excess H+
43.0,1.5772,68.0,excess H+
44.0,1.5601,69.0,excess H+
45.0,1.5441,70.0,excess H+
46.0,1.529,71.0,excess H+
47.0,1.5149,72.0,excess H+
48.0,1.5016,73.0,excess H+
49.0,1.489,74.0,excess H+
50.0,1.4771,75.0,excess H+
