V_added_mL,pH,total_volume_mL,note
0.0,1.7468,25.0,initial diprotic acid
0.5,0.6198,25.5,between 0 and first eq (buffer of H2A/HA-)
1.0,0.9393,26.0,between 0 and first eq (buffer of H2A/HA-)
1.5,1.1347,26.5,between 0 and first eq (buffer of H2A/HA-)
2.0,1.2798,27.0,between 0 and first eq (buffer of H2A/HA-)
2.5,1.3979,27.5,between 0 and first eq (buffer of H2A/HA-)
3.0,1.4994,28.0,between 0 and first eq (buffer of H2A/HA-)
3.5,1.5898,28.5,between 0 and first eq (buffer of H2A/HA-)
4.0,1.6726,29.0,between 0 and first eq (buffer of H2A/HA-)
4.5,1.7501,29.5,between 0 and first eq (buffer of H2A/HA-)
5.0,1.8239,30.0,between 0 and first eq (buffer of H2A/HA-)
5.5,1.8953,30.5,between 0 and first eq (buffer of H2A/HA-)
6.0,1.9652,31.0,between 0 and first eq (buffer of H2A/HA-)
6.5,2.0348,31.5,between 0 and first eq (buffer of H2A/HA-)
7.0,2.1047,32.0,between 0 and first eq (buffer of H2A/HA-)
7.5,2.1761,32.5,between 0 and first eq (buffer of H2A/HA-)
8.0,2.2499,33.0,between 0 and first eq (buffer of H2A/HA-)
8.5,2.3274,33.5,between 0 and first eq (buffer of H2A/HA-)
9.0,2.4102,34.0,between 0 and first eq (buffer of H2A/HA-)
9.5,2.5006,34.5,between 0 and first eq (buffer of H2A/HA-)
10.0,2.6021,35.0,between 0 and first eq (buffer of H2A/HA-)
10.5,2.7202,35.5,between 0 and first eq (buffer of H2A/HA-)
11.0,2.8653,36.0,between 0 and first eq (buffer of H2A/HA-)
11.5,3.0607,36.5,between 0 and first eq (buffer of H2A/HA-)
12.0,3.3802,37.0,between 0 and first eq (buffer of H2A/HA-)
12.5,4.5,37.5,first equivalence (amphiprotic HA-)
13.0,5.6198,38.0,between first and second eq (buffer of HA-/A2-)
13.5,5.9393,38.5,between first and second eq (buffer of HA-/A2-)
14.0,6.1347,39.0,between first and second eq (buffer of HA-/A2-)
14.5,6.2798,39.5,between first and second eq (buffer of HA-/A2-)
15.0,6.3979,40.0,between first and second eq (buffer of HA-/A2-)
15.5,6.4994,40.5,between first and second eq (buffer of HA-/A2-)
16.0,6.5898,41.0,between first and second eq (buffer of HA-/A2-)
16.5,6.6726,41.5,between first and second eq (buffer of HA-/A2-)
17.0,6.7501,42.0,between first and second eq (buffer of HA-/A2-)
17.5,6.8239,42.5,between first and second eq (buffer of HA-/A2-)
18.0,6.8953,43.0,between first and second eq (buffer of HA-/A2-)
18.5,6.9652,43.5,between first and second eq (buffer of HA-/A2-)
19.0,7.0348,44.0,between first and second eq (buffer of HA-/A2-)
19.5,7.1047,44.5,between first and second eq (buffer of HA-/A2-)
20.0,7.1761,45.0,between first and second eq (buffer of HA-/A2-)
20.5,7.2499,45.5,between first and second eq (buffer of HA-/A2-)
21.0,7.3274,46.0,between first and second eq (buffer of HA-/A2-)
